mainTimer........... 	 8 	 1712.65 	 1713.15 	 0 	 0 	 0 	 0
Secondary emission.. 	 8 	 0 	 0 	 0 	 0 	 0 	 0
Particle Inside..... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
zshiftPre Processing 	 8 	 0 	 0 	 0 	 0 	 0 	 0
Ray tracing......... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
Pre Processing...... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
SelfField........... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
Boundingbox......... 	 8 	 186.57 	 185.414 	 158.78 	 159.568 	 174.515 	 175.043
Statistics.......... 	 8 	 119.23 	 118.807 	 110.41 	 111.414 	 114.854 	 115.278
Potential........... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
CreatDistr.......... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
LoadDistr........... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
H5PartTimer......... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
H5BlockTimer........ 	 8 	 0 	 0 	 0 	 0 	 0 	 0
StatMarkerTimer..... 	 8 	 6.03 	 6.51871 	 4.71 	 5.307 	 5.24125 	 5.4716
TIntegration1....... 	 8 	 288.4 	 287.811 	 285.65 	 287.39 	 287.112 	 287.623
TIntegration2....... 	 8 	 1267.89 	 1268.17 	 1252.33 	 1251.95 	 1257.5 	 1257.5
Fieldeval........... 	 8 	 971.93 	 970.569 	 969.05 	 970.452 	 970.456 	 970.511
Binaryrepart........ 	 8 	 0.46 	 0.426329 	 0.36 	 0.424045 	 0.40125 	 0.425738
WakeField........... 	 8 	 0 	 0 	 0 	 0 	 0 	 0
