name,source_type,survey_type,length_m,source_elemedge_m,entry_x_m,entry_z_m,exit_x_m,exit_z_m,gap_from_previous_m
sp0_dr1,DRIFT,DRIFT,0.525,0.0,0.0,0.0,0.0,0.525,0.0
sp0_dr2a,DRIFT,DRIFT,0.2055,0.525,0.0,0.525,0.0,0.7305,0.0
sp0_dr2b,DRIFT,DRIFT,1.4875,0.7305,0.0,0.7305,0.0,2.218,0.0
sp0_dr3a,DRIFT,DRIFT,0.207,2.218,0.0,2.218,0.0,2.425,0.0
sp0_dr3b,DRIFT,DRIFT,0.6198996,2.425,0.0,2.425,0.0,3.0448996,0.0
sp0_qd,MULTIPOLET,DRIFT,0.7302008,3.0448996,0.0,3.0448996,0.0,3.7751004,0.0
sp0_dr4,DRIFT,DRIFT,0.2031496,3.7751004,0.0,3.7751004,0.0,3.97825,0.0
sp0_qtd,MULTIPOLET,DRIFT,0.307,3.97825,0.0,3.97825,0.0,4.28525,0.0
sp0_dr5,DRIFT,DRIFT,0.2030703,4.28525,0.0,4.28525,0.0,4.4883203,0.0
sp0_qf,MULTIPOLET,DRIFT,0.7153594,4.4883203,0.0,4.4883203,0.0,5.2036797,0.0
sp0_dr6,DRIFT,DRIFT,0.2021203,5.2036797,0.0,5.2036797,0.0,5.4058,0.0
sp0_qtf,MULTIPOLET,DRIFT,0.307,5.4058,0.0,5.4058,0.0,5.7128,0.0
sp0_dr7,DRIFT,DRIFT,0.2582,5.7128,0.0,5.7128,0.0,5.971,0.0
sp0_dr8,DRIFT,DRIFT,0.368,5.971,0.0,5.971,0.0,6.339,0.0
sp0_idip1,DRIFT,DRIFT,0.5,6.339,0.0,6.339,0.0,6.839,0.0
sp0_dr9,DRIFT,DRIFT,1.0,6.839,0.0,6.839,0.0,7.839,0.0
sp0_idip2,DRIFT,DRIFT,0.5,7.839,0.0,7.839,0.0,8.339,0.0
sp0_dr10,DRIFT,DRIFT,0.17,8.339,0.0,8.339,0.0,8.509,0.0
sp0_dr11a,DRIFT,DRIFT,0.17,8.509,0.0,8.509,0.0,8.679,0.0
sp0_idip3,DRIFT,DRIFT,0.5,8.679,0.0,8.679,0.0,9.179,0.0
sp0_dr11b,DRIFT,DRIFT,1.0,9.179,0.0,9.179,0.0,10.179,0.0
sp0_idip4,DRIFT,DRIFT,0.5,10.179,0.0,10.179,0.0,10.679,0.0
sp0_dr12,DRIFT,DRIFT,0.35574945,10.679,0.0,10.679,0.0,11.03474945,0.0
sp0_qds,MULTIPOLET,DRIFT,0.4025011,11.03474945,0.0,11.03474945,0.0,11.43725055,0.0
sp0_dr13,DRIFT,DRIFT,0.49903145,11.43725055,0.0,11.43725055,0.0,11.936282,0.0
sp1_dip1,MULTIPOLET,SBEND,4.4,11.936282,0.0,11.936282,-1.337419133,16.05243485,0.0
sp0_dr13a,DRIFT,DRIFT,0.525,16.336282,-1.337419133,16.05243485,-1.646006391,16.47716877,0.0
sp1_dr2a,DRIFT,DRIFT,0.2055,16.861282,-1.646006391,16.47716877,-1.76679626,16.64342176,0.0
sp1_dr2b,DRIFT,DRIFT,1.4875,17.066782,-1.76679626,16.64342176,-2.641126823,17.84683454,0.0
sp1_dr3a,DRIFT,DRIFT,0.207,18.554282,-2.641126823,17.84683454,-2.76279837,18.01430106,0.0
sp1_dr3b,DRIFT,DRIFT,0.6198996,18.761282,-2.76279837,18.01430106,-3.127166213,18.51581037,0.0
sp1_qd,MULTIPOLET,DRIFT,0.7302008,19.3811816,-3.127166213,18.51581037,-3.556367474,19.10655523,0.0
sp1_dr4,DRIFT,DRIFT,0.2031496,20.1113824,-3.556367474,19.10655523,-3.675775813,19.27090671,0.0
sp1_qtd,MULTIPOLET,DRIFT,0.307,20.314532,-3.675775813,19.27090671,-3.856225886,19.51927492,0.0
sp1_dr5,DRIFT,DRIFT,0.2030703,20.621532,-3.856225886,19.51927492,-3.975587613,19.68356225,0.0
sp1_qf,MULTIPOLET,DRIFT,0.7153594,20.8246023,-3.975587613,19.68356225,-4.396065319,20.26230016,0.0
sp1_dr6,DRIFT,DRIFT,0.2021203,21.5399617,-4.396065319,20.26230016,-4.51486865,20.42581892,0.0
sp1_qtf,MULTIPOLET,DRIFT,0.307,21.742082,-4.51486865,20.42581892,-4.695318723,20.67418713,0.0
sp1_dr7,DRIFT,DRIFT,0.2582,22.049082,-4.695318723,20.67418713,-4.847084875,20.88307532,0.0
sp1_dr8,DRIFT,DRIFT,0.368,22.307282,-4.847084875,20.88307532,-5.063389848,21.18079358,0.0
sp1_idip1,DRIFT,DRIFT,0.5,22.675282,-5.063389848,21.18079358,-5.357282474,21.58530207,0.0
sp1_dr9,DRIFT,DRIFT,1.0,23.175282,-5.357282474,21.58530207,-5.945067726,22.39431907,0.0
sp1_idip2,DRIFT,DRIFT,0.5,24.175282,-5.945067726,22.39431907,-6.238960352,22.79882756,0.0
sp1_dr10,DRIFT,DRIFT,0.17,24.675282,-6.238960352,22.79882756,-6.338883845,22.93636045,0.0
sp1_dr11a,DRIFT,DRIFT,0.17,24.845282,-6.338883845,22.93636045,-6.438807338,23.07389334,0.0
sp1_idip3,DRIFT,DRIFT,0.5,25.015282,-6.438807338,23.07389334,-6.732699964,23.47840184,0.0
sp1_dr11b,DRIFT,DRIFT,1.0,25.515282,-6.732699964,23.47840184,-7.320485216,24.28741883,0.0
sp1_idip4,DRIFT,DRIFT,0.5,26.515282,-7.320485216,24.28741883,-7.614377842,24.69192733,0.0
sp1_dr12,DRIFT,DRIFT,0.35574945,27.015282,-7.614377842,24.69192733,-7.823482123,24.97973468,0.0
sp1_qds,MULTIPOLET,DRIFT,0.4025011,27.37103145,-7.823482123,24.97973468,-8.060066333,25.30536491,0.0
sp1_dr13,DRIFT,DRIFT,0.49903145,27.77353255,-8.060066333,25.30536491,-8.35338966,25.70908984,0.0
sp2_dip1,MULTIPOLET,SBEND,4.4,28.272564,-8.35338966,25.70908984,-11.85479841,28.2530122,0.0
sp1_dr13a,DRIFT,DRIFT,0.525,32.672564,-11.85479841,28.2530122,-12.35410308,28.41524612,0.0
sp2_dr2a,DRIFT,DRIFT,0.2055,33.197564,-12.35410308,28.41524612,-12.54954519,28.47874911,0.0
sp2_dr2b,DRIFT,DRIFT,1.4875,33.403064,-12.54954519,28.47874911,-13.96424176,28.93841189,0.0
sp2_dr3a,DRIFT,DRIFT,0.207,34.890564,-13.96424176,28.93841189,-14.16111046,29.00237841,0.0
sp2_dr3b,DRIFT,DRIFT,0.6198996,35.097564,-14.16111046,29.00237841,-14.75067001,29.19393792,0.0
sp2_qd,MULTIPOLET,DRIFT,0.7302008,35.7174636,-14.75067001,29.19393792,-15.44513224,29.41958238,0.0
sp2_dr4,DRIFT,DRIFT,0.2031496,36.4476644,-15.44513224,29.41958238,-15.63833899,29.48235906,0.0
sp2_qtd,MULTIPOLET,DRIFT,0.307,36.650814,-15.63833899,29.48235906,-15.93031334,29.57722727,0.0
sp2_dr5,DRIFT,DRIFT,0.2030703,36.957814,-15.93031334,29.57722727,-16.12344468,29.63997945,0.0
sp2_qf,MULTIPOLET,DRIFT,0.7153594,37.1608843,-16.12344468,29.63997945,-16.8037919,29.86103766,0.0
sp2_dr6,DRIFT,DRIFT,0.2021203,37.8762437,-16.8037919,29.86103766,-16.99601972,29.92349627,0.0
sp2_qtf,MULTIPOLET,DRIFT,0.307,38.078364,-16.99601972,29.92349627,-17.28799407,30.01836449,0.0
sp2_dr7,DRIFT,DRIFT,2.82199945,38.385364,-17.28799407,30.01836449,-19.97187504,30.89041027,0.0
