x,y,z,px,py,pz,pair,kind,species,charge_units,name,x_m,y_m,z_abs_m,s_minus_ip_m,witness_bunch_charge_C
1.944325075701e-06,0.0,-0.0009,0.0,0.0,1.7320511804180807,1,2,electron,-1,Te-1,1.944325075701e-06,0.0,0.0051,-0.0008999999999999998,-9.613059803999999e-19
1.944325075701e-06,0.0,-0.0005994,0.0,0.0,1.7320511804180807,2,2,electron,-1,Te-2,1.944325075701e-06,0.0,0.0054006,-0.0005993999999999999,-9.613059803999999e-19
1.944325075701e-06,0.0,-0.0003006,0.0,0.0,1.7320511804180807,3,2,electron,-1,Te-3,1.944325075701e-06,0.0,0.0056994,-0.0003005999999999998,-9.613059803999999e-19
1.944325075701e-06,0.0,0.0,0.0,0.0,1.7320511804180807,4,2,electron,-1,Te-4,1.944325075701e-06,0.0,0.006,0.0,-9.613059803999999e-19
1.944325075701e-06,0.0,0.0003006,0.0,0.0,1.7320511804180807,5,2,electron,-1,Te-5,1.944325075701e-06,0.0,0.0063006,0.0003005999999999998,-9.613059803999999e-19
1.944325075701e-06,0.0,0.0005994,0.0,0.0,1.7320511804180807,6,2,electron,-1,Te-6,1.944325075701e-06,0.0,0.0065994,0.0005993999999999999,-9.613059803999999e-19
1.944325075701e-06,0.0,-0.0009,0.0,0.0,1.7320511804180807,1,3,positron,1,Te+1,1.944325075701e-06,0.0,0.0051,-0.0008999999999999998,9.613059803999999e-19
1.944325075701e-06,0.0,-0.0005994,0.0,0.0,1.7320511804180807,2,3,positron,1,Te+2,1.944325075701e-06,0.0,0.0054006,-0.0005993999999999999,9.613059803999999e-19
1.944325075701e-06,0.0,-0.0003006,0.0,0.0,1.7320511804180807,3,3,positron,1,Te+3,1.944325075701e-06,0.0,0.0056994,-0.0003005999999999998,9.613059803999999e-19
1.944325075701e-06,0.0,0.0,0.0,0.0,1.7320511804180807,4,3,positron,1,Te+4,1.944325075701e-06,0.0,0.006,0.0,9.613059803999999e-19
1.944325075701e-06,0.0,0.0003006,0.0,0.0,1.7320511804180807,5,3,positron,1,Te+5,1.944325075701e-06,0.0,0.0063006,0.0003005999999999998,9.613059803999999e-19
1.944325075701e-06,0.0,0.0005994,0.0,0.0,1.7320511804180807,6,3,positron,1,Te+6,1.944325075701e-06,0.0,0.0065994,0.0005993999999999999,9.613059803999999e-19
