quantity,samples,mean_difference,rms_difference,max_abs_difference,relative_l2_difference
x_um,6132,-0.35642200324382717,4.045114023070193,20.836968467180366,0.8713611648437846
y_um,6132,0.502815622105864,11.240206020434835,69.04291144401822,1.0
s_minus_ip_mm,6132,14.123612200999258,17.201933810923453,38.00066837047035,1.6605744791792625
px,6132,-8.201124570103284e-05,0.001779678749901398,0.009908437856470659,0.9996127246825861
py,6132,7.606141765418954e-05,0.0057579986767928,0.022177399325596075,1.0
pz,6132,-2.6582608427400662e-05,7.348049189775581e-05,0.0004472943509585825,4.242332152113657e-05
kinetic_keV,6132,-0.016403927324555135,0.04504016090312857,0.2733153215405082,8.813853803548479e-05
Ex_V_per_m,6132,206119.981921304,1330337.823282384,8991212.304650592,0.999982669521666
Ey_V_per_m,6132,-1243391.3818627202,3224547.65464082,17782271.647058178,1.0
Ez_V_per_m,6132,-605.9812053148634,2349.4540102951514,11364.627951337978,1.0085547809951851
E_abs_V_per_m,6132,-1823428.812961405,3488024.504659029,17818196.83075237,0.9999482986574003
