model,name,pair,kind,species,charge_units,witness_bunch_charge_C,step_since_t0,time_s,time_fs,time_ps,time_since_t0_fs,time_since_t0_ps,source_active,source_z_m,source_sigma_x_m,source_sigma_y_m,source_sigma_z_m,source_plus_3sigma_z_m,source_charge_C,x_m,y_m,z_abs_m,s_minus_ip_m,x_um,y_um,s_minus_ip_mm,px,py,pz,gamma,kinetic_keV,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,Bx_T,By_T,Bz_T,E_abs_V_per_m,B_abs_T
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,0,4e-12,4000,4.0,0.0,0.0,True,0.003300000000000001,0.00043056542710515517,0.00043104208299119874,0.0005972787862618331,0.0050918363587855,-2.0027207925e-09,1.944325075701e-06,0.0,0.0051,-0.0008999999999999998,1.944325075701,0.0,-0.8999999999999998,0.0,0.0,1.7320511804180807,2.0000003228968906,510.99911499997205,-1343.7869352073858,0.0,-69.67096518180924,0.0,-4.482381022730681e-06,0.0,1345.5918291307448,4.482381022730681e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,20,4.1e-12,4100,4.1,99.99999999999997,0.09999999999999998,True,0.0033299791808634395,0.000441423480117962,0.0004419114696230515,0.0005975266001590013,0.005122558981340444,-2.0027207925e-09,1.9443251542194914e-06,0.0,0.005125962789853999,-0.0008740372101460015,1.9443251542194915,0.0,-0.8740372101460016,1.043085020154038e-08,0.0,1.732051184525993,2.000000326454447,510.99911681787967,-1309.0010419565965,0.0,-70.40685677147303,0.0,-4.366348023985973e-06,0.0,1310.8931509943493,4.366348023985973e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,40,4.2e-12,4200,4.2,199.99999999999994,0.19999999999999996,True,0.003359958361726878,0.0004522816394844236,0.00045278096431289745,0.0005977804509894571,0.005153299714695249,-2.0027207925e-09,1.9443253870886556e-06,0.0,0.005151925579723473,-0.000848074420276527,1.9443253870886557,0.0,-0.848074420276527,2.0597536926929622e-08,0.0,1.7320511886774015,2.000000330049673,510.99911865503634,-1276.6562721804721,0.0,-71.1543772019293,0.0,-4.258457719034676e-06,0.0,1278.6376275914665,4.258457719034676e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,60,4.3e-12,4300,4.3,299.99999999999994,0.29999999999999993,True,0.0033899375425903173,0.00046313990052558384,0.00046365056203591273,0.0005980403294604874,0.00518405853097178,-2.0027207925e-09,1.9443257704886375e-06,0.0,0.005177888369608585,-0.0008221116303914148,1.9443257704886374,0.0,-0.8221116303914148,3.0518444275403656e-08,0.0,1.7320511928729911,2.00000033368316,510.99912051174454,-1246.54171523233,0.0,-71.91357099161995,0.0,-4.158006587210373e-06,0.0,1248.6143557989096,4.158006587210373e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,80,4.4e-12,4400,4.3999999999999995,399.9999999999999,0.3999999999999999,True,0.0034199167234537555,0.0004739982589765652,0.0004745202582028926,0.0005983062261200232,0.0052148354018138245,-2.0027207925e-09,1.9443263008631633e-06,0.0,0.005203851159509505,-0.0007961488404904949,1.9443263008631633,0.0,-0.796148840490495,4.0210386607596875e-08,0.0,1.732051197113448,2.000000337355504,510.99912238830836,-1218.4694801972664,0.0,-72.68448515184748,0.0,-4.064367893240346e-06,0.0,1220.6354527679366,4.064367893240346e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,100,4.5e-12,4500,4.5,499.9999999999999,0.4999999999999999,True,0.0034498959043171946,0.0004848567109886531,0.0004853900486500837,0.0005985781313297069,0.005245630298306315,-2.0027207925e-09,1.9443269748973073e-06,0.0,0.0052298139494264,-0.0007701860505736,1.9443269748973073,0.0,-0.7701860505736,4.968877803093536e-08,0.0,1.7320512013994613,2.000000341067301,510.99912428503274,-1192.2717131485374,0.0,-73.46716871009683,0.0,-3.976981737905372e-06,0.0,1194.5330731513575,3.976981737905372e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,120,4.6e-12,4600,4.6,599.9999999999999,0.5999999999999999,True,0.0034798750851806333,0.0004957152530587348,0.0004962599295974785,0.0005988560352750609,0.005276443191005816,-2.0027207925e-09,1.944327789497636e-06,0.0,0.005255776739359443,-0.0007442232606405573,1.944327789497636,0.0,-0.7442232606405573,5.89677801541996e-08,0.0,1.732051205731722,2.0000003448191492,510.9991262022232,-1167.7980591228807,0.0,-74.26167228839813,0.0,-3.895346592118997e-06,0.0,1170.1568710485942,3.895346592118997e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,140,4.7e-12,4700,4.7,699.9999999999999,0.6999999999999998,True,0.003509854266044072,0.0005065738819527374,0.000507129897581231,0.0005991399279968999,0.005307274050034771,-2.0027207925e-09,1.9443287417744254e-06,0.0,0.005281739529308808,-0.0007182604706911918,1.9443287417744255,0.0,-0.7182604706911918,6.806043131727133e-08,0.0,1.732051210110926,2.0000003486116515,510.9991281401879,-1144.9134939507,0.0,-75.06804772529992,0.0,-3.8190120647071835e-06,0.0,1147.371831805055,3.8190120647071835e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,160,4.8e-12,4800,4.8,799.9999999999998,0.7999999999999998,True,0.003539833446907511,0.0005174325946507444,0.0005179999493887046,0.000599429799423937,0.005338122845179322,-2.0027207925e-09,1.944329829025689e-06,0.0,0.005307702319274675,-0.0006922976807253248,1.9443298290256892,0.0,-0.6922976807253247,7.697875996765314e-08,0.0,1.7320512145377729,2.0000003524454137,510.99913009923637,-1123.4964649947785,0.0,-75.88634772905871,0.0,-3.7475727005936443e-06,0.0,1126.0564127198154,3.7475727005936443e-06
analytic Gaussian c0,Te-1,1,2,electron,-1,-9.613059803999999e-19,180,4.9e-12,4900,4.8999999999999995,899.9999999999998,0.8999999999999998,True,0.0035698126277709497,0.0005282913883023273,0.0005288700820125369,0.0005997256394110838,0.005368989546004201,-2.0027207925e-09,1.9443310487228026e-06,0.0,0.005333665109257219,-0.000666334890742781,1.9443310487228025,0.0,-0.666334890742781,8.573388442095906e-08,0.0,1.7320512190129616,2.000000356321042,510.99913207967836,-1103.4372913804011,0.0,-76.71662555975968,0.0,-3.6806626445534964e-06,0.0,1106.1009432444187,3.6806626445534964e-06
