time_s,position_error_m,momentum_error
2.0565975649885148e-08,6.485936971521236e-08,2.90898861359216e-08
4.113195129977037e-08,1.0337471175409458e-07,3.6495169915718235e-08
6.169792694965492e-08,3.790653301435368e-07,1.4391103990853392e-08
8.226390259953352e-08,4.7545514725933435e-07,1.7498890676461922e-07
1.0282987824941213e-07,3.9250825487306807e-07,7.970208949081665e-09
1.2339585389929075e-07,2.9401208598202445e-07,5.4895772386092484e-08
1.4396182954916936e-07,2.611199517454957e-07,1.0954679464849553e-07
1.6452780519904796e-07,5.537143674791468e-07,8.577852348447813e-09
1.8509378084892657e-07,7.376231134845469e-07,2.9908995631287387e-07
2.0565975649880517e-07,6.413727470642985e-07,9.974011526883561e-09
2.2622573214868378e-07,4.70500362110625e-07,4.7538062397366176e-08
2.467917077985624e-07,5.327639522504121e-07,2.7179496376316073e-07
2.67357683448441e-07,6.788827062616738e-07,3.227930376541625e-08
2.879236590983196e-07,8.894825444022884e-07,3.765533611549658e-07
3.084896347481982e-07,1.000130561819203e-06,3.258288751667262e-08
3.290556103980768e-07,8.528601889184302e-07,3.748878090383882e-08
3.496215860479554e-07,6.569405557284634e-07,3.512980178408751e-07
3.70187561697834e-07,8.908160942255633e-07,5.2320741788339397e-08
3.9075353734771263e-07,1.0799409468250579e-06,3.2343766049095393e-07
4.1131951299759124e-07,1.1899804225099765e-06,1.1594667525647946e-07
4.3188548864746984e-07,1.051347526242796e-06,4.104952267748501e-08
4.5245146429734845e-07,8.56615468327003e-07,4.3849893726196794e-07
4.7301743994722706e-07,9.328809296355418e-07,6.336403999773297e-08
4.935834155971057e-07,1.095450042003969e-06,1.258013222323437e-07
5.141493912469843e-07,1.374589474610136e-06,4.47345201974133e-07
5.347153668968629e-07,1.2517642790483247e-06,4.4149397756146264e-08
5.552813425467415e-07,1.0297504624253011e-06,5.018605145024642e-07
5.758473181966201e-07,1.0969353644374807e-06,7.993662505079814e-08
5.964132938464987e-07,1.1838081933054949e-06,9.039203085837804e-08
6.169792694963774e-07,1.4387462667503945e-06,6.03482277181882e-07
6.37545245146256e-07,1.3778633815896182e-06,5.7419673670050044e-08
6.581112207961346e-07,1.3710819304564826e-06,6.227235086678336e-07
6.786771964460132e-07,1.2584854719482953e-06,8.940265807685727e-08
6.992431720958918e-07,1.2231409295978809e-06,6.99869743761719e-08
