                      ranks  Wall tot
=====================================
mainTimer...........      1     2.471

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     2.471     2.471     2.471
H5 open close.......      1  0.003543  0.003543  0.003543
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1 0.0001904 0.0001904 0.0001904
particleBC..........      1   2.5e-05   2.5e-05   2.5e-05
updateParticle......      1  1.68e-07  1.68e-07  1.68e-07
computeMoments......      1 0.0001136 0.0001136 0.0001136
TIntegration1.......      1 4.996e-05 4.996e-05 4.996e-05
TIntegration2.......      1 4.471e-05 4.471e-05 4.471e-05
External field eval.      1 8.588e-05 8.588e-05 8.588e-05
Binaryrepart........      1         0         0         0
OrbThreader.........      1     2.435     2.435     2.435
OT reference........      1    0.1503    0.1503    0.1503
OT segmentation.....      1   0.03945   0.03945   0.03945
OT maps.............      1     2.238     2.238     2.238
OT output...........      1  0.005994  0.005994  0.005994
