                      ranks  Wall tot
=====================================
mainTimer...........      1     2.523

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     2.523     2.523     2.523
H5 open close.......      1  0.004279  0.004279  0.004279
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1 0.0001895 0.0001895 0.0001895
particleBC..........      1 2.317e-05 2.317e-05 2.317e-05
updateParticle......      1  2.49e-07  2.49e-07  2.49e-07
computeMoments......      1 9.821e-05 9.821e-05 9.821e-05
TIntegration1.......      1 3.075e-05 3.075e-05 3.075e-05
TIntegration2.......      1 4.075e-05 4.075e-05 4.075e-05
External field eval.      1 9.729e-05 9.729e-05 9.729e-05
Binaryrepart........      1         0         0         0
OrbThreader.........      1     2.485     2.485     2.485
OT reference........      1    0.1561    0.1561    0.1561
OT segmentation.....      1    0.0415    0.0415    0.0415
OT maps.............      1     2.282     2.282     2.282
OT output...........      1  0.005425  0.005425  0.005425
