integrator,dt_s,h,stability,qx,qy,qx_error,qy_error,max_tune_error,matrix_error,modulus_error,position_residual,momentum_residual,wall_s,case
BORIS,1e-11,3e-05,STABLE,0.2298885714166464,0.310458760864354,-3.859450500187656e-06,-4.84211543527735e-06,4.84211543527735e-06,6.528642948389063e-05,6.491596815649814e-09,8.67431706136613e-14,1.1387456079215294e-11,1.3068183751311153,trusted-boris-dt1e-11-h3e-5
BORIS,2e-11,3e-05,UNSTABLE,0.2298772033271171,0.3104444787535392,-1.5227540029444375e-05,-1.912422625000021e-05,1.912422625000021e-05,0.00025621504719008925,1.8788546940484707e-08,1.610190652043817e-13,1.0684144175955684e-11,0.784967124927789,trusted-boris-dt2e-11-h3e-5
BORIS,5e-12,0.0001,STABLE,0.2298914642890112,0.3104623860725294,-9.665781353362934e-07,-1.2169072598489097e-06,1.2169072598489097e-06,1.6403959639532673e-05,1.6842640615521987e-09,1.9138412184671773e-13,9.216526099504148e-12,2.1579327499493957,trusted-boris-dt5e-12-h1e-4
BORIS,5e-12,1e-05,STABLE,0.229891460668889,0.3104623839274394,-9.701982576215684e-07,-1.2190523498434302e-06,1.2190523498434302e-06,1.6420965251562336e-05,7.367005672165305e-09,1.9138412184671773e-13,9.216526099504148e-12,2.0961191658861935,trusted-boris-dt5e-12-h1e-5
BORIS,5e-12,3e-05,STABLE,0.229891459893774,0.3104623841007778,-9.70973372538264e-07,-1.2188790114442405e-06,1.2188790114442405e-06,1.6444321514264004e-05,2.604240822989823e-09,1.9138412184671773e-13,9.216526099504148e-12,2.1867584590800107,trusted-boris-dt5e-12-h3e-5
RK4,1e-11,3e-05,STABLE,0.2298924312869939,0.3104636031810592,4.1984735132949424e-10,2.0126994515479166e-10,4.1984735132949424e-10,4.650926088700658e-09,1.4730130448725731e-09,2.703545305443484e-14,2.648931276851921e-12,2.5418082079850137,trusted-rk4-dt1e-11-h3e-5
RK4,2e-11,3e-05,STABLE,0.22989243096656,0.3104636032736617,9.9413449694552e-11,2.9387242639344885e-10,2.9387242639344885e-10,4.2701872871031554e-09,2.542627330903713e-09,1.3209225207425074e-13,9.049384466102592e-13,1.607908292207867,trusted-rk4-dt2e-11-h3e-5
RK4,5e-12,0.0001,STABLE,0.2298924351329303,0.3104636051469515,4.2657837540094334e-09,2.1671622829622095e-09,4.2657837540094334e-09,5.313200360235193e-08,2.5776374368291503e-09,1.6148781661772098e-14,5.830028484639092e-12,4.546397167025134,trusted-rk4-dt5e-12-h1e-4
RK4,5e-12,1e-05,STABLE,0.2298924310134642,0.3104636030019014,1.463176246829789e-10,2.211220095915678e-11,1.463176246829789e-10,1.7617041159212476e-09,6.784113271152137e-09,1.6148781661772098e-14,5.830028484639092e-12,4.6383334579877555,trusted-rk4-dt5e-12-h1e-5
RK4,5e-12,3e-05,STABLE,0.2298924313226698,0.310463603175211,4.5552323024722336e-10,1.9542173435027618e-10,4.5552323024722336e-10,4.68669994480031e-09,9.968904590706984e-10,1.6148781661772098e-14,5.830028484639092e-12,4.594313957961276,trusted-rk4-dt5e-12-h3e-5
DOP853,1e-11,3e-05,STABLE,0.2298924312900936,0.3104636031748381,4.2294698299194517e-10,1.9504886594745583e-10,4.2294698299194517e-10,2.9722638572593496e-08,1.885921419031433e-09,4.697046073716494e-15,5.7791997699272375e-12,5.398620167048648,trusted-20260907-dt1e-11-h3e-5
DOP853,2e-11,3e-05,STABLE,0.2298924312308846,0.310463603174842,3.637380119325684e-10,1.9505280723919327e-10,3.637380119325684e-10,1.0974736674995711e-08,8.393584716159808e-10,5.985417403195123e-14,4.818639143477819e-12,3.5879436251707375,trusted-20260907-dt2e-11-h3e-5
DOP853,5e-12,0.0001,STABLE,0.2298924355115116,0.3104636051465261,4.644365031447606e-09,2.166736845499173e-09,4.644365031447606e-09,5.279402728874949e-08,6.141069652798592e-09,2.1632138322696126e-13,3.2810310102650993e-11,9.645627707941458,trusted-20260907-dt5e-12-h1e-4
DOP853,5e-12,1e-05,NON_UNIT_CIRCLE,0.2298924324865629,0.3104636030016337,1.6194162955063263e-09,2.1844470676768424e-11,1.6194162955063263e-09,1.4880948390194604e-08,1.9311971466429156e-08,2.1632138322696126e-13,3.2810310102650993e-11,9.668314957991242,trusted-20260907-dt5e-12-h1e-5
DOP853,5e-12,3e-05,STABLE,0.2298924314934086,0.3104636031748715,6.262619867136721e-10,1.9508228366049707e-10,6.262619867136721e-10,6.312142808440058e-09,5.126050695025697e-10,2.1632138322696126e-13,3.2810310102650993e-11,9.700131499907002,trusted-20260907-dt5e-12-h3e-5
