                      ranks  Wall tot
=====================================
mainTimer...........      1     11.77

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     11.77     11.77     11.77
H5 open close.......      1  0.003881  0.003881  0.003881
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1 0.0005847 0.0005847 0.0005847
particleBC..........      1 3.746e-05 3.746e-05 3.746e-05
updateParticle......      1  3.34e-07  3.34e-07  3.34e-07
computeMoments......      1 0.0001905 0.0001905 0.0001905
TIntegration1.......      1 3.992e-05 3.992e-05 3.992e-05
TIntegration2.......      1 9.558e-05 9.558e-05 9.558e-05
External field eval.      1 0.0001965 0.0001965 0.0001965
Binaryrepart........      1         0         0         0
OrbThreader.........      1     11.72     11.72     11.72
OT reference........      1     0.895     0.895     0.895
OT segmentation.....      1   0.04941   0.04941   0.04941
OT maps.............      1     10.77     10.77     10.77
OT output...........      1  0.005697  0.005697  0.005697
