                      ranks  Wall tot
=====================================
mainTimer...........      1     2.517

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     2.517     2.517     2.517
H5 open close.......      1  0.004799  0.004799  0.004799
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1  0.000147  0.000147  0.000147
particleBC..........      1 2.287e-05 2.287e-05 2.287e-05
updateParticle......      1  1.25e-07  1.25e-07  1.25e-07
computeMoments......      1 0.0001794 0.0001794 0.0001794
TIntegration1.......      1 5.521e-05 5.521e-05 5.521e-05
TIntegration2.......      1  5.45e-05  5.45e-05  5.45e-05
External field eval.      1 9.983e-05 9.983e-05 9.983e-05
Binaryrepart........      1         0         0         0
OrbThreader.........      1     2.479     2.479     2.479
OT reference........      1    0.1757    0.1757    0.1757
OT segmentation.....      1   0.03976   0.03976   0.03976
OT maps.............      1     2.255     2.255     2.255
OT output...........      1  0.008693  0.008693  0.008693
