                      ranks  Wall tot
=====================================
mainTimer...........      1     4.406

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     4.406     4.406     4.406
H5 open close.......      1  0.001684  0.001684  0.001684
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1 0.0001829 0.0001829 0.0001829
particleBC..........      1 2.958e-06 2.958e-06 2.958e-06
updateParticle......      1   2.5e-07   2.5e-07   2.5e-07
computeMoments......      1 0.0001193 0.0001193 0.0001193
TIntegration1.......      1 2.671e-05 2.671e-05 2.671e-05
TIntegration2.......      1 4.054e-05 4.054e-05 4.054e-05
External field eval.      1 7.983e-05 7.983e-05 7.983e-05
Binaryrepart........      1         0         0         0
OrbThreader.........      1     4.358     4.358     4.358
OT reference........      1    0.4019    0.4019    0.4019
OT segmentation.....      1   0.04302   0.04302   0.04302
OT maps.............      1     3.903     3.903     3.903
OT output...........      1  0.007878  0.007878  0.007878
