                      ranks  Wall tot
=====================================
mainTimer...........      1     11.09

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     11.09     11.09     11.09
H5 open close.......      1  0.001598  0.001598  0.001598
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1 0.0001472 0.0001472 0.0001472
particleBC..........      1 2.958e-06 2.958e-06 2.958e-06
updateParticle......      1  2.06e-07  2.06e-07  2.06e-07
computeMoments......      1 0.0001674 0.0001674 0.0001674
TIntegration1.......      1 4.492e-05 4.492e-05 4.492e-05
TIntegration2.......      1 8.767e-05 8.767e-05 8.767e-05
External field eval.      1 0.0001295 0.0001295 0.0001295
Binaryrepart........      1         0         0         0
OrbThreader.........      1     11.05     11.05     11.05
OT reference........      1    0.3945    0.3945    0.3945
OT segmentation.....      1   0.04584   0.04584   0.04584
OT maps.............      1     10.61     10.61     10.61
OT output...........      1   0.00499   0.00499   0.00499
