dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,finest_epsilon,rays_per_segment,elapsed_s,integration_method,path,scaled_max_error,relative_frobenius_error,worst_entry,orbit_threader_wall_s,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R36,R41,R42,R43,R44,R45,R46,R51,R52,R53,R54,R55,R56,R61,R62,R63,R64,R65,R66,difference_from_finest_dt,R16_difference_from_finest_dt,R26_difference_from_finest_dt,mpi_matrix_max_difference,mpi_diagnostics_max_difference
1.000000000000e-13,OK,,9.296484471122e-09,-7.034692544205e-09,-1.909257614266e-09,7.034692544205e-09,1.909257614266e-09,7.034692544205e-09,2.822108800000e-09,3.175949800000e-09,3.000000000000e-06,0,1,3.000000000000e-06,12,1.328869708301e+01,BORIS,L0/dt-1e-13/eps-3e-06/ranks-1,9.296484471122e-09,1.295089291207e-09,R12,1.306500000000e+01,-1.386352257698e+00,-1.278842328676e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431226633e-01,-1.386352257524e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100185e+00,1.040676316102e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389167e+00,3.851352100069e+00,0.000000000000e+00,0.000000000000e+00,2.144116055699e-09,6.616455889299e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722965582e-02,1.120654320233e-09,2.704857325084e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999968241e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e-13,OK,,4.172340872799e-08,-1.856124152414e-08,-5.097628981491e-09,1.856124152414e-08,5.097628981491e-09,1.856124152414e-08,6.034651900000e-09,5.079999800000e-09,1.000000000000e-06,0,1,1.000000000000e-06,12,4.889507667162e+00,BORIS,L0/dt-3e-13/eps-1e-06/ranks-1,4.172340872799e-08,6.182896368434e-09,R34,4.666520000000e+00,-1.386352267695e+00,-1.278842359715e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431278115e-01,-1.386352269782e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352078244e+00,1.040676311626e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223378799e+00,3.851352078545e+00,0.000000000000e+00,0.000000000000e+00,3.130878354180e-09,2.082081063451e-08,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722298183e-02,3.038788696105e-10,5.079999825942e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000003789e+00,4.472000014744e-08,-1.576335493118e-08,-1.012009530581e-08,0.000000000000e+00,0.000000000000e+00
1.000000000000e-12,OK,,4.958734098892e-07,-1.957440239479e-07,-6.037139055327e-08,1.957440239479e-07,6.037139055327e-08,1.957440239479e-07,1.757577900000e-09,2.708449000000e-09,1.000000000000e-04,0,1,1.000000000000e-04,12,1.943917790893e+00,BORIS,L0/dt-1e-12/eps-0.0001/ranks-1,4.958734098892e-07,6.957615479465e-08,R34,1.723800000000e+00,-1.386352392305e+00,-1.278842775226e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431682537e-01,-1.386352395277e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351853829e+00,1.040676266211e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223273018e+00,3.851351860523e+00,0.000000000000e+00,0.000000000000e+00,5.471928352839e-08,1.939971289744e-07,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437714200914e-02,-3.642267065168e-11,-3.783467806449e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000011e+00,5.527800013283e-07,-1.748921746294e-07,-5.471557060147e-08,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,4.531703408972e-06,-1.718257242372e-06,-5.308133886885e-07,1.718257242372e-06,5.308133886885e-07,1.718257242372e-06,1.587550300000e-08,2.163027500000e-08,3.000000000000e-04,0,1,3.000000000000e-04,12,1.106834208826e+00,BORIS,L0/dt-3e-12/eps-0.0003/ranks-1,4.531703408972e-06,6.265294433848e-07,R34,8.872140000000e-01,-1.386353474508e+00,-1.278846367266e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435302800e-01,-1.386353501754e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349860737e+00,1.040675862628e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222333519e+00,3.851349923204e+00,0.000000000000e+00,0.000000000000e+00,4.812413065548e-07,1.703468430811e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437643113624e-02,-1.329554070606e-12,-1.578387365961e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999964e-01,5.019970000575e-06,-1.584390123527e-06,-4.962185177463e-07,0.000000000000e+00,0.000000000000e+00
1.000000000000e-11,OK,,5.021238340852e-05,-1.886341447987e-05,-5.827049796569e-06,1.886341447987e-05,5.827049796569e-06,1.886341447987e-05,1.766089500000e-07,2.434753600000e-07,1.000000000000e-03,0,1,1.000000000000e-03,12,8.465346668381e-01,BORIS,L0/dt-1e-11/eps-0.001/ranks-1,5.021238340852e-05,6.915981126963e-06,R34,6.263930000000e-01,-1.386365664754e+00,-1.278886816641e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209476087929e-01,-1.386365957805e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851327292964e+00,1.040671294560e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329211699004e+00,3.851328002075e+00,0.000000000000e+00,0.000000000000e+00,5.277636378088e-06,1.869797979786e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.436841715177e-02,6.330451923846e-13,-3.130636435838e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.560731999843e-05,-1.744405704240e-05,-5.463227621712e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-11,OK,,4.493159634098e-04,-1.673681459499e-04,-5.174314680712e-05,1.673681459499e-04,5.174314680712e-05,1.673681459499e-04,1.580772600000e-06,2.202244800000e-06,3.000000000000e-03,0,1,3.000000000000e-03,12,7.786157079972e-01,BORIS,L0/dt-3e-11/eps-0.003/ranks-1,4.493159634098e-04,6.164629443537e-05,R34,5.616070000000e-01,-1.386471126450e+00,-1.279237071810e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209829634355e-01,-1.386473918979e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851130018324e+00,1.040631384202e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329118772834e+00,3.851136552342e+00,0.000000000000e+00,0.000000000000e+00,4.672695797168e-05,1.658320282844e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.429897038434e-02,-1.915100742810e-14,-2.950917393965e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999999e-01,4.978469400001e-04,-1.546474321340e-04,-4.848492638543e-05,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,8.366484394173e-09,-5.338758153958e-09,-2.974797943206e-10,5.338758153958e-09,2.974797943206e-10,5.338758153958e-09,2.903116900000e-09,2.900192000000e-09,1.000000000000e-05,1,1,5.000000000000e-06,24,2.477510862495e+01,BORIS,L1/dt-1e-13/eps-1e-05/ranks-1,8.366484394173e-09,1.142202754841e-09,R12,2.455490000000e+01,-1.386352256079e+00,-1.278842327746e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431198866e-01,-1.386352253751e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100163e+00,1.040676316097e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389156e+00,3.851352100046e+00,0.000000000000e+00,0.000000000000e+00,1.741527627822e-09,6.709704164278e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437723037062e-02,1.663741609167e-09,1.744650848195e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999971e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e-13,OK,,4.241148454653e-08,-2.107305072071e-08,-7.374672372763e-09,2.107305072071e-08,7.374672372763e-09,2.107305072071e-08,6.139244700000e-11,1.400900100000e-09,1.000000000000e-05,1,1,5.000000000000e-06,24,8.942452125018e+00,BORIS,L1/dt-3e-13/eps-1e-05/ranks-1,4.241148454653e-08,6.327913025500e-09,R12,8.722430000000e+00,-1.386352267715e+00,-1.278842361791e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431270882e-01,-1.386352268953e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352078238e+00,1.040676311624e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223378796e+00,3.851352078538e+00,0.000000000000e+00,0.000000000000e+00,5.681974045394e-09,2.118407048924e-08,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722312857e-02,-2.358427389514e-10,4.851361733036e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999995073e-01,4.472999926008e-08,-1.573429256675e-08,-7.077192578442e-09,0.000000000000e+00,0.000000000000e+00
1.000000000000e-12,OK,,5.497934090215e-07,-1.817932465384e-07,-5.730017267183e-08,1.817932465384e-07,5.730017267183e-08,1.817932465384e-07,7.049643100000e-10,3.907006100000e-08,1.000000000000e-06,1,1,5.000000000000e-07,24,3.512069625081e+00,BORIS,L1/dt-1e-12/eps-1e-06/ranks-1,5.497934090215e-07,7.100431684584e-08,R34,3.289540000000e+00,-1.386352382604e+00,-1.278842739573e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431630849e-01,-1.386352382911e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351829246e+00,1.040676260819e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223261134e+00,3.851351834248e+00,0.000000000000e+00,0.000000000000e+00,9.090949785698e-08,1.556718448222e-07,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437716863086e-02,-2.278833817090e-09,-2.232190359050e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000001284e+00,5.527900004410e-07,-1.716237214563e-07,-5.339997293407e-08,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,5.015613409043e-06,-1.591114449472e-06,-4.982480575906e-07,1.591114449472e-06,4.982480575906e-07,1.591114449472e-06,4.200995100000e-11,7.243511300000e-08,1.000000000000e-04,1,1,5.000000000000e-05,24,1.970631500008e+00,BORIS,L1/dt-3e-12/eps-0.0001/ranks-1,5.015613409043e-06,6.445839557415e-07,R34,1.751560000000e+00,-1.386353391926e+00,-1.278846070497e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435125293e-01,-1.386353428510e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349640161e+00,1.040675814237e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222226907e+00,3.851349687419e+00,0.000000000000e+00,0.000000000000e+00,3.839181773771e-07,1.611250918320e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437645568378e-02,2.612042139852e-11,3.842521602382e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000090e+00,5.018610000462e-06,-1.584379672604e-06,-4.961074467625e-07,0.000000000000e+00,0.000000000000e+00
1.000000000000e-11,OK,,5.532932340913e-05,-1.744491433938e-05,-5.463670427866e-06,1.744491433938e-05,5.463670427866e-06,1.744491433938e-05,6.462283400000e-09,2.692177900000e-05,1.000000000000e-05,1,1,5.000000000000e-06,24,1.487924459158e+00,BORIS,L1/dt-1e-11/eps-1e-05/ranks-1,5.532932340913e-05,7.863203210241e-06,R34,1.266480000000e+00,-1.386364750923e+00,-1.278883509464e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209474125091e-01,-1.386365141231e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851324959797e+00,1.040670782866e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329210574572e+00,3.851325517107e+00,0.000000000000e+00,0.000000000000e+00,-2.191957766388e-05,3.285151686494e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.435410095946e-02,2.616008028434e-10,2.039318748431e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999998006e-01,5.533230999966e-05,-1.743957558123e-05,-5.463372948072e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-11,OK,,4.974885234095e-04,-1.546502207690e-04,-4.848564001892e-05,1.546502207690e-04,4.848564001892e-05,1.546502207690e-04,1.322587300000e-08,7.271494700000e-05,1.000000000000e-04,1,1,5.000000000000e-05,24,1.330363207962e+00,BORIS,L1/dt-3e-11/eps-0.0001/ranks-1,4.974885234095e-04,6.452219843302e-05,R34,1.108480000000e+00,-1.386462875258e+00,-1.279207393259e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209811922866e-01,-1.386466592541e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851108064771e+00,1.040626566946e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329108164620e+00,3.851113086165e+00,0.000000000000e+00,0.000000000000e+00,-2.843858592704e-05,1.946208101221e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.426488665606e-02,-6.292562944217e-12,-9.724305788390e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,4.974915200009e-04,-1.546434859921e-04,-4.848349940809e-05,0.000000000000e+00,0.000000000000e+00
