richardson_levels,dt_s,scaled_max_error_gain,abs_R16_gain,abs_R26_gain
0,1.000000000000e-13,1.000471052361e+00,1.000000000991e+00,1.000000010525e+00
0,3.000000000000e-13,1.000373817372e+00,9.999999995914e-01,1.057768572957e+00
0,1.000000000000e-12,1.000004666439e+00,1.000000002908e+00,9.972889444663e-01
0,3.000000000000e-12,9.554929395574e-01,1.000023673997e+00,9.798651369993e-01
0,1.000000000000e-11,9.641043061669e-01,1.000000248027e+00,9.684798850752e-01
0,3.000000000000e-11,9.185164169419e-01,1.001362202263e+00,9.670642928145e-01
1,1.000000000000e-13,1.607130458505e+01,3.482723391442e+00,1.240921885149e+01
1,3.000000000000e-13,1.161941693886e+00,1.346086477715e+00,1.118840433434e+00
1,1.000000000000e-12,9.601269327033e-01,1.003288883585e+00,9.884440940559e-01
1,3.000000000000e-12,9.552888206068e-01,1.000176611191e+00,9.649702179888e-01
1,1.000000000000e-11,9.632164486631e-01,9.999985501824e-01,9.642021701978e-01
1,3.000000000000e-11,9.184693641435e-01,1.001473899984e+00,9.670379507456e-01
2,1.000000000000e-13,2.253910376607e+01,1.467834034392e+00,1.959435121701e+01
2,3.000000000000e-13,1.035182691827e+00,1.001447264297e+00,9.957134028766e-01
2,1.000000000000e-12,9.587845184633e-01,1.000355308166e+00,9.675901035212e-01
2,3.000000000000e-12,9.551044064366e-01,1.000164577652e+00,9.650663894540e-01
2,1.000000000000e-11,9.642472270630e-01,1.000011095296e+00,9.642091007865e-01
2,3.000000000000e-11,9.184656558939e-01,1.001470551215e+00,9.670372781949e-01
3,1.000000000000e-13,3.177409023368e+01,2.158764058770e+01,3.892418019332e+00
3,3.000000000000e-13,4.259619272554e+00,1.348336331609e+00,2.539747305472e+00
3,1.000000000000e-12,9.587670782340e-01,1.002701472915e+00,1.013042700890e+00
3,3.000000000000e-12,9.553903202804e-01,1.000177362091e+00,9.654275452564e-01
3,1.000000000000e-11,9.639724493828e-01,1.000000858694e+00,9.642257980237e-01
3,3.000000000000e-11,9.186878919063e-01,1.001467865646e+00,9.670361205953e-01
4,1.000000000000e-13,9.480982062797e+01,5.947812868052e+01,6.437744108557e+00
4,3.000000000000e-13,3.747566730472e+00,5.642002245935e+00,7.178247549237e+00
4,1.000000000000e-12,9.587845184633e-01,9.996307179939e-01,1.039219326145e+00
4,3.000000000000e-12,9.553226822296e-01,1.001080829949e+00,9.649282604341e-01
4,1.000000000000e-11,9.593229166862e-01,1.000003451825e+00,9.642064075913e-01
4,3.000000000000e-11,9.185089918385e-01,1.001396805931e+00,9.669916634924e-01
