dt_s,status_before,reason_before,full_matrix_error_before,R16_before,R26_before,abs_R16_before,abs_R26_before,dispersion_error_before,determinant_error_before,canonical_J_error_before,epsilon,richardson_levels,ranks,finest_epsilon_before,rays_per_segment_before,elapsed_s_before,integration_method_before,path_before,scaled_max_error_before,relative_frobenius_error_before,worst_entry_before,orbit_threader_wall_s_before,R11_before,R12_before,R13_before,R14_before,R15_before,R21_before,R22_before,R23_before,R24_before,R25_before,R31_before,R32_before,R33_before,R34_before,R35_before,R36_before,R41_before,R42_before,R43_before,R44_before,R45_before,R46_before,R51_before,R52_before,R53_before,R54_before,R55_before,R56_before,R61_before,R62_before,R63_before,R64_before,R65_before,R66_before,difference_from_finest_dt_before,R16_difference_from_finest_dt_before,R26_difference_from_finest_dt_before,mpi_matrix_max_difference_before,mpi_diagnostics_max_difference_before,status_after,reason_after,full_matrix_error_after,R16_after,R26_after,abs_R16_after,abs_R26_after,dispersion_error_after,determinant_error_after,canonical_J_error_after,finest_epsilon_after,rays_per_segment_after,elapsed_s_after,integration_method_after,path_after,scaled_max_error_after,relative_frobenius_error_after,worst_entry_after,orbit_threader_wall_s_after,R11_after,R12_after,R13_after,R14_after,R15_after,R21_after,R22_after,R23_after,R24_after,R25_after,R31_after,R32_after,R33_after,R34_after,R35_after,R36_after,R41_after,R42_after,R43_after,R44_after,R45_after,R46_after,R51_after,R52_after,R53_after,R54_after,R55_after,R56_after,R61_after,R62_after,R63_after,R64_after,R65_after,R66_after,difference_from_finest_dt_after,R16_difference_from_finest_dt_after,R26_difference_from_finest_dt_after,mpi_matrix_max_difference_after,mpi_diagnostics_max_difference_after,scaled_max_error_gain,abs_R16_gain,abs_R26_gain
1.000000000000e-13,OK,,7.989188119014e-06,-7.989188119347e-06,-7.976135776964e-07,7.989188119347e-06,7.976135776964e-07,7.989188119347e-06,1.983597400000e-08,1.747449400000e-05,1.000000000000e-06,0,1,1.000000000000e-06,12,1.372947758390e+01,BORIS,L0/dt-1e-13/eps-1e-06/ranks-1,7.989188119014e-06,1.004825357044e-06,R16,1.350960000000e+01,-1.386354983009e+00,-1.278841559085e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433050073e-01,-1.386349319912e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100264e+00,1.040676316124e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389161e+00,3.851352100051e+00,0.000000000000e+00,0.000000000000e+00,-2.402580669384e-06,-7.418617015363e-06,0.000000000000e+00,0.000000000000e+00,9.999999999809e-01,-9.437454482248e-02,-3.214460605827e-09,-9.868790319225e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999921928e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,1.019748441244e-08,-2.797886592956e-09,5.022466324323e-09,2.797886592956e-09,5.022466324323e-09,5.022466324323e-09,1.938879100000e-09,6.835432200000e-09,1.000000000000e-06,12,1.342747524986e+01,BORIS,L0/dt-1e-13/eps-1e-06/ranks-1,1.019748441244e-08,1.293675004642e-09,R12,1.320790000000e+01,-1.386352257094e+00,-1.278842329577e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431197156e-01,-1.386352254726e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100165e+00,1.040676316098e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389157e+00,3.851352100048e+00,0.000000000000e+00,0.000000000000e+00,2.251119796922e-09,7.200976435365e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437723032309e-02,-1.128740701364e-09,-3.075279638144e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999993050e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.834469557284e+02,2.855436721224e+03,1.588091439924e+02
1.000000000000e-13,OK,,2.319478943205e-06,1.344110231349e-07,9.734743395646e-07,1.344110231349e-07,9.734743395646e-07,9.734743395646e-07,9.177546200000e-09,1.008673100000e-06,3.000000000000e-06,0,1,3.000000000000e-06,12,1.380552150006e+01,BORIS,L0/dt-1e-13/eps-3e-06/ranks-1,2.319478943205e-06,3.579752990636e-07,R56,1.358490000000e+01,-1.386350924494e+00,-1.278840254813e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435035910e-01,-1.386352860533e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100275e+00,1.040676316130e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389171e+00,3.851352100083e+00,0.000000000000e+00,0.000000000000e+00,1.329725940664e-06,2.067393175630e-06,0.000000000000e+00,0.000000000000e+00,9.999999999603e-01,-9.437955335896e-02,-1.085055634082e-09,-1.514636448012e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999948242e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,9.296484471122e-09,-7.034692544205e-09,-1.909257614266e-09,7.034692544205e-09,1.909257614266e-09,7.034692544205e-09,2.822108800000e-09,3.175949800000e-09,3.000000000000e-06,12,1.328869708301e+01,BORIS,L0/dt-1e-13/eps-3e-06/ranks-1,9.296484471122e-09,1.295089291207e-09,R12,1.306500000000e+01,-1.386352257698e+00,-1.278842328676e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431226633e-01,-1.386352257524e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100185e+00,1.040676316102e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389167e+00,3.851352100069e+00,0.000000000000e+00,0.000000000000e+00,2.144116055699e-09,6.616455889299e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722965582e-02,1.120654320233e-09,2.704857325084e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999968241e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.495006526833e+02,1.910687955306e+01,5.098706074501e+02
1.000000000000e-13,OK,,4.252702123786e-07,-1.081297823455e-07,1.318701673318e-07,1.081297823455e-07,1.318701673318e-07,1.318701673318e-07,6.645471100000e-09,7.375885800000e-07,1.000000000000e-05,0,1,1.000000000000e-05,12,1.377828629198e+01,BORIS,L0/dt-1e-13/eps-1e-05/ranks-1,4.252702123786e-07,6.253406237535e-08,R11,1.355730000000e+01,-1.386352680667e+00,-1.278842592378e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209430783405e-01,-1.386351935075e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100508e+00,1.040676316178e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389278e+00,3.851352100310e+00,0.000000000000e+00,0.000000000000e+00,-8.663093640066e-08,-4.189610100062e-07,0.000000000000e+00,0.000000000000e+00,9.999999999995e-01,-9.437730865128e-02,-7.095677027005e-11,-8.524739314682e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000364e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,1.085748446705e-08,-7.315886433419e-09,-2.180226583325e-09,7.315886433419e-09,2.180226583325e-09,7.315886433419e-09,2.816147300000e-11,1.270067800000e-09,1.000000000000e-05,12,1.333512858301e+01,BORIS,L0/dt-1e-13/eps-1e-05/ranks-1,1.085748446705e-08,1.389687271568e-09,R12,1.311390000000e+01,-1.386352258065e+00,-1.278842330237e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431231966e-01,-1.386352258671e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100409e+00,1.040676316151e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389275e+00,3.851352100308e+00,0.000000000000e+00,0.000000000000e+00,2.147703576221e-09,7.145149008592e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722989189e-02,-8.332165544163e-11,-1.270067757854e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999993775e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.916839242729e+01,1.478013407255e+01,6.048461583781e+01
1.000000000000e-13,OK,,3.766173568009e-07,-3.889041989023e-08,-2.530252635138e-08,3.889041989023e-08,2.530252635138e-08,3.889041989023e-08,2.910611000000e-09,2.011723800000e-07,3.000000000000e-05,0,1,3.000000000000e-05,12,1.377209312515e+01,BORIS,L0/dt-1e-13/eps-3e-05/ranks-1,3.766173568009e-07,3.967961858174e-08,R56,1.355230000000e+01,-1.386352331647e+00,-1.278842363470e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431165675e-01,-1.386352193812e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352102462e+00,1.040676316608e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223390229e+00,3.851352102419e+00,0.000000000000e+00,0.000000000000e+00,1.653303417807e-07,2.227002342090e-07,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437685726266e-02,1.009529773501e-10,3.180585063383e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999997808e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,1.297948437617e-08,-7.911369944573e-09,-2.233425806330e-09,7.911369944573e-09,2.233425806330e-09,7.911369944573e-09,1.285345200000e-10,2.114795000000e-10,3.000000000000e-05,12,1.327262612502e+01,BORIS,L0/dt-1e-13/eps-3e-05/ranks-1,1.297948437617e-08,1.726557555773e-09,R12,1.305510000000e+01,-1.386352258975e+00,-1.278842332359e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431237764e-01,-1.386352258952e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352102375e+00,1.040676316583e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223390226e+00,3.851352102410e+00,0.000000000000e+00,0.000000000000e+00,2.412293939063e-09,8.012341644088e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722955082e-02,-1.742008319488e-10,-1.369041059914e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999997987e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.901635734408e+01,4.915763030006e+00,1.132902032370e+01
1.000000000000e-13,OK,,9.610313632852e-08,-8.487746075898e-09,1.875594965601e-08,8.487746075898e-09,1.875594965601e-08,1.875594965601e-08,1.864152600000e-09,6.034380800000e-08,1.000000000000e-04,0,1,1.000000000000e-04,12,1.379112075013e+01,BORIS,L0/dt-1e-13/eps-0.0001/ranks-1,9.610313632852e-08,1.483114217894e-08,R52,1.357110000000e+01,-1.386352176032e+00,-1.278842251546e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431454899e-01,-1.386352318146e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352124847e+00,1.040676321519e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223401043e+00,3.851352126331e+00,0.000000000000e+00,0.000000000000e+00,8.598308252036e-11,9.610313666159e-08,0.000000000000e+00,0.000000000000e+00,1.000000000003e+00,-9.437728534277e-02,-3.125240556951e-11,-6.804186853608e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000009e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,5.690659143909e-08,-2.085184931854e-08,-5.655819951803e-09,2.085184931854e-08,5.655819951803e-09,2.085184931854e-08,1.660818000000e-09,2.254781600000e-09,1.000000000000e-04,12,1.339089104184e+01,BORIS,L0/dt-1e-13/eps-0.0001/ranks-1,5.690659143909e-08,7.343991102375e-09,R34,1.316130000000e+01,-1.386352267199e+00,-1.278842362247e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431253763e-01,-1.386352266102e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352124745e+00,1.040676321489e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223401040e+00,3.851352126321e+00,0.000000000000e+00,0.000000000000e+00,5.938544033348e-09,2.100731631053e-08,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722355836e-02,2.352062340995e-11,2.662051502867e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000063e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.688787430387e+00,4.070500388832e-01,3.316221134308e+00
1.000000000000e-13,OK,,4.884965907337e-07,-1.325578283915e-07,-3.087521416309e-08,1.325578283915e-07,3.087521416309e-08,1.325578283915e-07,1.610260600000e-08,2.088142400000e-08,3.000000000000e-04,0,1,3.000000000000e-04,12,1.384289895813e+01,BORIS,L0/dt-1e-13/eps-0.0003/ranks-1,4.884965907337e-07,5.902467081117e-08,R34,1.362110000000e+01,-1.386352355498e+00,-1.278842641085e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431381392e-01,-1.386352321144e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352321495e+00,1.040676364648e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223496112e+00,3.851352336524e+00,0.000000000000e+00,0.000000000000e+00,4.080570772588e-08,1.326068722236e-07,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437718287723e-02,2.792531724289e-11,4.850383821815e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999977e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,4.882665916028e-07,-1.338671188451e-07,-3.459487094224e-08,1.338671188451e-07,3.459487094224e-08,1.338671188451e-07,1.592236500000e-08,2.066213900000e-08,3.000000000000e-04,12,1.348021170800e+01,BORIS,L0/dt-1e-13/eps-0.0003/ranks-1,4.882665916028e-07,5.852715475563e-08,R34,1.326220000000e+01,-1.386352340479e+00,-1.278842625985e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431410731e-01,-1.386352331176e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352321403e+00,1.040676364625e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223496108e+00,3.851352336525e+00,0.000000000000e+00,0.000000000000e+00,3.709234435954e-08,1.352007419759e-07,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437717077056e-02,-4.288686297486e-12,-2.043385014654e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999628e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000471052361e+00,9.902194768596e-01,8.924795301199e-01
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,0,1,1.000000000000e-03,12,1.380118995812e+01,BORIS,L0/dt-1e-13/eps-0.001/ranks-1,5.395236589933e-06,6.409942614225e-07,R34,1.357930000000e+01,-1.386353175862e+00,-1.278845624290e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433203495e-01,-1.386353069639e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851354558478e+00,1.040676855322e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329224577518e+00,3.851354727626e+00,0.000000000000e+00,0.000000000000e+00,3.890027839355e-07,1.423824394814e-06,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437657512085e-02,4.310402024347e-12,2.379261848602e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999999e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,5.394936589909e-06,-1.419357437473e-06,-3.638221748574e-07,1.419357437473e-06,3.638221748574e-07,1.419357437473e-06,1.764493400000e-07,2.295272800000e-07,1.000000000000e-03,12,1.345505954209e+01,BORIS,L0/dt-1e-13/eps-0.001/ranks-1,5.394936589909e-06,6.413126300967e-07,R34,1.323330000000e+01,-1.386353174585e+00,-1.278845626415e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433201073e-01,-1.386353071872e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851354558388e+00,1.040676855292e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329224577515e+00,3.851354727603e+00,0.000000000000e+00,0.000000000000e+00,3.916062251848e-07,1.434242428619e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437657030311e-02,1.635826389414e-12,2.280644172828e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000055607702e+00,9.977160629652e-01,9.942974147309e-01
1.000000000000e-13,OK,,4.853128659121e-05,-1.272049897295e-05,-3.258179551293e-06,1.272049897295e-05,3.258179551293e-06,1.272049897295e-05,1.588190200000e-06,2.065884900000e-06,3.000000000000e-03,0,1,3.000000000000e-03,12,1.381319087488e+01,BORIS,L0/dt-1e-13/eps-0.003/ranks-1,4.853128659121e-05,5.764884187045e-06,R34,1.359160000000e+01,-1.386360508355e+00,-1.278872005746e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209448935924e-01,-1.386359582975e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851374224525e+00,1.040681168927e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329234084507e+00,3.851375748337e+00,0.000000000000e+00,0.000000000000e+00,3.507557142356e-06,1.285426316711e-05,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437129200402e-02,8.294830248837e-13,3.602207881853e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000008e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,4.853097659030e-05,-1.272071381588e-05,-3.258220421687e-06,1.272071381588e-05,3.258220421687e-06,1.272071381588e-05,1.588019900000e-06,2.065699600000e-06,3.000000000000e-03,12,1.343896962516e+01,BORIS,L0/dt-1e-13/eps-0.003/ranks-1,4.853097659030e-05,5.764825544235e-06,R34,1.321500000000e+01,-1.386360507502e+00,-1.278872004250e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209448940316e-01,-1.386359583589e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851374224427e+00,1.040681168896e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329234084503e+00,3.851375748320e+00,0.000000000000e+00,0.000000000000e+00,3.508278415819e-06,1.285460100803e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437129130656e-02,1.827764524432e-12,3.359239047697e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999968e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000006387692e+00,9.999831107803e-01,9.999874562219e-01
1.000000000000e-13,OK,,5.392694265911e-04,-1.412988364426e-04,-3.618793152907e-05,1.412988364426e-04,3.618793152907e-05,1.412988364426e-04,1.764256900000e-05,2.294920700000e-05,1.000000000000e-02,0,1,1.000000000000e-02,12,1.377110583405e+01,BORIS,L0/dt-1e-13/eps-0.01/ranks-1,5.392694265911e-04,6.405221951400e-05,R34,1.354510000000e+01,-1.386443929640e+00,-1.279172079567e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209628008778e-01,-1.386433663121e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851597955691e+00,1.040730242741e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329342241310e+00,3.851614891342e+00,0.000000000000e+00,0.000000000000e+00,3.896419621970e-05,1.427721507028e-04,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.431123072207e-02,5.794514270309e-13,1.775123145574e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,5.392691265911e-04,-1.412991060029e-04,-3.618823047157e-05,1.412991060029e-04,3.618823047157e-05,1.412991060029e-04,1.764248300000e-05,2.294911400000e-05,1.000000000000e-02,12,1.332898600004e+01,BORIS,L0/dt-1e-13/eps-0.01/ranks-1,5.392691265911e-04,6.405219171754e-05,R34,1.310840000000e+01,-1.386443929285e+00,-1.279172079097e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209628010556e-01,-1.386433663463e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851597955592e+00,1.040730242711e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329342241307e+00,3.851614891330e+00,0.000000000000e+00,0.000000000000e+00,3.896412742897e-05,1.427722410617e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.431123036372e-02,-7.472578387647e-13,-1.308585951254e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999976e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000556309e+00,9.999980922717e-01,9.999917392341e-01
1.000000000000e-13,OK,,4.858648106591e-03,-1.273674897781e-03,-3.261749263163e-04,1.273674897781e-03,3.261749263163e-04,1.273674897781e-03,1.586126000000e-04,2.062964900000e-04,3.000000000000e-02,0,1,3.000000000000e-02,12,1.388243470923e+01,BORIS,L0/dt-1e-13/eps-0.03/ranks-1,4.858648106591e-03,5.770545814240e-04,R34,1.365830000000e+01,-1.387178088695e+00,-1.281812238862e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.211205117653e-01,-1.387085635842e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.853567197354e+00,1.041162180609e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.330294243771e+00,3.853719810796e+00,0.000000000000e+00,0.000000000000e+00,3.509584390398e-04,1.285783076153e-03,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.378224231860e-02,2.574894711601e-13,3.188017557169e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999991e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,OK,,4.858647806591e-03,-1.273674896519e-03,-3.261749228834e-04,1.273674896519e-03,3.261749228834e-04,1.273674896519e-03,1.586126200000e-04,2.062965100000e-04,3.000000000000e-02,12,1.323660883401e+01,BORIS,L0/dt-1e-13/eps-0.03/ranks-1,4.858647806591e-03,5.770545293989e-04,R34,1.301740000000e+01,-1.387178088372e+00,-1.281812238256e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.211205117405e-01,-1.387085635817e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.853567197256e+00,1.041162180579e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.330294243767e+00,3.853719810782e+00,0.000000000000e+00,0.000000000000e+00,3.509583112331e-04,1.285782815481e-03,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.378224274094e-02,-1.079674445107e-13,-1.053918435822e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999998e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000061746e+00,1.000000000991e+00,1.000000010525e+00
