variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999488766965e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.999048022361e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.998969081411e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999444966101e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.994082545491e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.992628279511e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.990141306248e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993631559888e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.012573103693e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.969633480579e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.989038703765e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008168927484e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,2.141643271969e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.899816337391e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.992675039133e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088549959089e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,1.282455405401e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R16,1.722364926324e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.352106968945e-02
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999801708486e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R16,2.005152175659e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R26,2.004268809878e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999757305789e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.993984021394e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.987127357783e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.987567384329e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993526920279e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.012434288426e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.971856120625e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.967095428872e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.007971262686e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,2.111476982292e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.759814230140e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.661661406281e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088549959089e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,1.399649965538e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R16,1.034460699259e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.276406429101e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999808873803e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.986285048415e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.987184673686e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999757305818e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.994057809706e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.988798510260e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.988987977914e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993526920252e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.013157026899e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.974148384494e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.977153265157e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.007971262686e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,2.102559873378e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.801318318243e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.845133773955e+00
dt_s,epsilon,1.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088364266556e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,1.267324768141e+00
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R16,9.509622080760e-01
dt_s,epsilon,1.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R26,9.449942523079e-01
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999872048494e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.985888371716e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.986877288731e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999757305818e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.994695433395e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.988611192229e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.988873566975e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993513680986e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.019574585717e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.969692144604e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.972103922414e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.007985771642e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,2.049390417792e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.753570097181e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.777311964341e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088364233571e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,1.155914285810e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R16,9.370891661971e-01
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.002836035499e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,2.000589893710e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.985296514891e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.986394098637e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999757324073e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.001961222134e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.982546475232e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.983860279849e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993346553268e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.096695794119e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.915330350299e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.927703163708e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008185392447e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,1.555153466142e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.430100008616e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.490189612517e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088534934986e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,2.662877690739e-01
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R16,4.711067337012e-01
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R26,5.221882829743e-01
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,2.006931980003e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.980090715228e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.982135332901e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999757287564e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.070973579373e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.931380329560e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.941648633377e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993345048949e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,1.674927430525e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.562381361827e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.622111068842e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008170740561e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,4.019833457069e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R16,6.109230011709e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R26,6.889391205548e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088364233571e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-8.745692134156e-02
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R16,9.123521175753e-02
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.084731854556e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,2.077748324892e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.923372845940e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.935350477688e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.994778090242e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.630825324251e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.526079931390e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.589143201597e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.997461146156e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,3.417349410666e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R16,5.765805918898e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R26,6.554924151527e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008172556560e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-8.287316946360e-02
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R16,8.830016666487e-02
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.064893415802e-01
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088364263887e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-7.578351341651e-03
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R16,9.022096742923e-03
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.089866268313e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.681029429134e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.559703520311e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.620676040777e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999409725306e+00
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,4.052342297642e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R16,6.196706903682e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R26,7.000618383248e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993800758632e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,-8.894010938711e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R16,9.441904864859e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.138678354917e-01
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.007998469553e+00
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-8.749306350867e-03
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.042158230237e-02
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.272447896185e-02
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088549956420e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-8.391478482224e-04
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R16,1.011127629174e-03
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.223609200254e-03
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,3.293507392944e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,abs_R16,5.670543846802e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,abs_R26,6.458539627618e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.998931847480e+00
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,-8.219994402921e-02
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-11,3.000000000000e-12,abs_R16,8.744646481315e-02
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.054945853554e-01
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993630293683e+00
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,-7.580814600988e-03
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-12,1.000000000000e-12,abs_R16,9.025786175999e-03
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.102302515462e-02
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008172895165e+00
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-7.830723663453e-04
dt_s,epsilon,1.000000000000e-02,0,1.000000000000e-12,3.000000000000e-13,abs_R16,9.447398098674e-04
