dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,finest_epsilon,rays_per_segment,elapsed_s,integration_method,path,scaled_max_error,relative_frobenius_error,worst_entry,orbit_threader_wall_s,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R36,R41,R42,R43,R44,R45,R46,R51,R52,R53,R54,R55,R56,R61,R62,R63,R64,R65,R66,difference_from_finest_dt,R16_difference_from_finest_dt,R26_difference_from_finest_dt,mpi_matrix_max_difference,mpi_diagnostics_max_difference
1.000000000000e-13,OK,,1.019748441244e-08,-2.797886592956e-09,5.022466324323e-09,2.797886592956e-09,5.022466324323e-09,5.022466324323e-09,1.938879100000e-09,6.835432200000e-09,1.000000000000e-06,0,1,1.000000000000e-06,12,1.342747524986e+01,BORIS,L0/dt-1e-13/eps-1e-06/ranks-1,1.019748441244e-08,1.293675004642e-09,R12,1.320790000000e+01,-1.386352257094e+00,-1.278842329577e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431197156e-01,-1.386352254726e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100165e+00,1.040676316098e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389157e+00,3.851352100048e+00,0.000000000000e+00,0.000000000000e+00,2.251119796922e-09,7.200976435365e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437723032309e-02,-1.128740701364e-09,-3.075279638144e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999993050e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,9.296484471122e-09,-7.034692544205e-09,-1.909257614266e-09,7.034692544205e-09,1.909257614266e-09,7.034692544205e-09,2.822108800000e-09,3.175949800000e-09,3.000000000000e-06,0,1,3.000000000000e-06,12,1.328869708301e+01,BORIS,L0/dt-1e-13/eps-3e-06/ranks-1,9.296484471122e-09,1.295089291207e-09,R12,1.306500000000e+01,-1.386352257698e+00,-1.278842328676e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431226633e-01,-1.386352257524e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100185e+00,1.040676316102e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389167e+00,3.851352100069e+00,0.000000000000e+00,0.000000000000e+00,2.144116055699e-09,6.616455889299e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722965582e-02,1.120654320233e-09,2.704857325084e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999968241e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,1.085748446705e-08,-7.315886433419e-09,-2.180226583325e-09,7.315886433419e-09,2.180226583325e-09,7.315886433419e-09,2.816147300000e-11,1.270067800000e-09,1.000000000000e-05,0,1,1.000000000000e-05,12,1.333512858301e+01,BORIS,L0/dt-1e-13/eps-1e-05/ranks-1,1.085748446705e-08,1.389687271568e-09,R12,1.311390000000e+01,-1.386352258065e+00,-1.278842330237e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431231966e-01,-1.386352258671e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100409e+00,1.040676316151e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389275e+00,3.851352100308e+00,0.000000000000e+00,0.000000000000e+00,2.147703576221e-09,7.145149008592e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722989189e-02,-8.332165544163e-11,-1.270067757854e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999993775e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,1.297948437617e-08,-7.911369944573e-09,-2.233425806330e-09,7.911369944573e-09,2.233425806330e-09,7.911369944573e-09,1.285345200000e-10,2.114795000000e-10,3.000000000000e-05,0,1,3.000000000000e-05,12,1.327262612502e+01,BORIS,L0/dt-1e-13/eps-3e-05/ranks-1,1.297948437617e-08,1.726557555773e-09,R12,1.305510000000e+01,-1.386352258975e+00,-1.278842332359e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431237764e-01,-1.386352258952e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352102375e+00,1.040676316583e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223390226e+00,3.851352102410e+00,0.000000000000e+00,0.000000000000e+00,2.412293939063e-09,8.012341644088e-09,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722955082e-02,-1.742008319488e-10,-1.369041059914e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999997987e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,5.690659143909e-08,-2.085184931854e-08,-5.655819951803e-09,2.085184931854e-08,5.655819951803e-09,2.085184931854e-08,1.660818000000e-09,2.254781600000e-09,1.000000000000e-04,0,1,1.000000000000e-04,12,1.339089104184e+01,BORIS,L0/dt-1e-13/eps-0.0001/ranks-1,5.690659143909e-08,7.343991102375e-09,R34,1.316130000000e+01,-1.386352267199e+00,-1.278842362247e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431253763e-01,-1.386352266102e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352124745e+00,1.040676321489e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223401040e+00,3.851352126321e+00,0.000000000000e+00,0.000000000000e+00,5.938544033348e-09,2.100731631053e-08,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437722355836e-02,2.352062340995e-11,2.662051502867e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000063e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.882665916028e-07,-1.338671188451e-07,-3.459487094224e-08,1.338671188451e-07,3.459487094224e-08,1.338671188451e-07,1.592236500000e-08,2.066213900000e-08,3.000000000000e-04,0,1,3.000000000000e-04,12,1.348021170800e+01,BORIS,L0/dt-1e-13/eps-0.0003/ranks-1,4.882665916028e-07,5.852715475563e-08,R34,1.326220000000e+01,-1.386352340479e+00,-1.278842625985e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431410731e-01,-1.386352331176e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352321403e+00,1.040676364625e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223496108e+00,3.851352336525e+00,0.000000000000e+00,0.000000000000e+00,3.709234435954e-08,1.352007419759e-07,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437717077056e-02,-4.288686297486e-12,-2.043385014654e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999628e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,5.394936589909e-06,-1.419357437473e-06,-3.638221748574e-07,1.419357437473e-06,3.638221748574e-07,1.419357437473e-06,1.764493400000e-07,2.295272800000e-07,1.000000000000e-03,0,1,1.000000000000e-03,12,1.345505954209e+01,BORIS,L0/dt-1e-13/eps-0.001/ranks-1,5.394936589909e-06,6.413126300967e-07,R34,1.323330000000e+01,-1.386353174585e+00,-1.278845626415e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433201073e-01,-1.386353071872e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851354558388e+00,1.040676855292e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329224577515e+00,3.851354727603e+00,0.000000000000e+00,0.000000000000e+00,3.916062251848e-07,1.434242428619e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437657030311e-02,1.635826389414e-12,2.280644172828e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.853097659030e-05,-1.272071381588e-05,-3.258220421687e-06,1.272071381588e-05,3.258220421687e-06,1.272071381588e-05,1.588019900000e-06,2.065699600000e-06,3.000000000000e-03,0,1,3.000000000000e-03,12,1.343896962516e+01,BORIS,L0/dt-1e-13/eps-0.003/ranks-1,4.853097659030e-05,5.764825544235e-06,R34,1.321500000000e+01,-1.386360507502e+00,-1.278872004250e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209448940316e-01,-1.386359583589e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851374224427e+00,1.040681168896e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329234084503e+00,3.851375748320e+00,0.000000000000e+00,0.000000000000e+00,3.508278415819e-06,1.285460100803e-05,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437129130656e-02,1.827764524432e-12,3.359239047697e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999968e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,5.392691265911e-04,-1.412991060029e-04,-3.618823047157e-05,1.412991060029e-04,3.618823047157e-05,1.412991060029e-04,1.764248300000e-05,2.294911400000e-05,1.000000000000e-02,0,1,1.000000000000e-02,12,1.332898600004e+01,BORIS,L0/dt-1e-13/eps-0.01/ranks-1,5.392691265911e-04,6.405219171754e-05,R34,1.310840000000e+01,-1.386443929285e+00,-1.279172079097e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209628010556e-01,-1.386433663463e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851597955592e+00,1.040730242711e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329342241307e+00,3.851614891330e+00,0.000000000000e+00,0.000000000000e+00,3.896412742897e-05,1.427722410617e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.431123036372e-02,-7.472578387647e-13,-1.308585951254e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999976e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.858647806591e-03,-1.273674896519e-03,-3.261749228834e-04,1.273674896519e-03,3.261749228834e-04,1.273674896519e-03,1.586126200000e-04,2.062965100000e-04,3.000000000000e-02,0,1,3.000000000000e-02,12,1.323660883401e+01,BORIS,L0/dt-1e-13/eps-0.03/ranks-1,4.858647806591e-03,5.770545293989e-04,R34,1.301740000000e+01,-1.387178088372e+00,-1.281812238256e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.211205117405e-01,-1.387085635817e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.853567197256e+00,1.041162180579e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.330294243767e+00,3.853719810782e+00,0.000000000000e+00,0.000000000000e+00,3.509583112331e-04,1.285782815481e-03,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.378224274094e-02,-1.079674445107e-13,-1.053918435822e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999998e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
