dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,finest_epsilon,rays_per_segment,elapsed_s,integration_method,path,scaled_max_error,relative_frobenius_error,worst_entry,orbit_threader_wall_s,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R36,R41,R42,R43,R44,R45,R46,R51,R52,R53,R54,R55,R56,R61,R62,R63,R64,R65,R66,difference_from_finest_dt,R16_difference_from_finest_dt,R26_difference_from_finest_dt,mpi_matrix_max_difference,mpi_diagnostics_max_difference
1.000000000000e-13,OK,,9.610313632852e-08,-8.487746075898e-09,1.875594965601e-08,8.487746075898e-09,1.875594965601e-08,1.875594965601e-08,1.864152600000e-09,6.034380800000e-08,1.000000000000e-04,0,1,1.000000000000e-04,12,1.379112075013e+01,BORIS,L0/dt-1e-13/eps-0.0001/ranks-1,9.610313632852e-08,1.483114217894e-08,R52,1.357110000000e+01,-1.386352176032e+00,-1.278842251546e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431454899e-01,-1.386352318146e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352124847e+00,1.040676321519e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223401043e+00,3.851352126331e+00,0.000000000000e+00,0.000000000000e+00,8.598308252036e-11,9.610313666159e-08,0.000000000000e+00,0.000000000000e+00,1.000000000003e+00,-9.437728534277e-02,-3.125240556951e-11,-6.804186853608e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000009e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e-13,OK,,6.165532526751e-08,-1.594706350553e-08,-2.065981430606e-08,1.594706350553e-08,2.065981430606e-08,2.065981430606e-08,1.113417700000e-09,6.597095900000e-08,1.000000000000e-04,0,1,1.000000000000e-04,12,5.183621833101e+00,BORIS,L0/dt-3e-13/eps-0.0001/ranks-1,6.165532526751e-08,8.841175102548e-09,R52,4.962820000000e+00,-1.386352271084e+00,-1.278842380689e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431316972e-01,-1.386352278025e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352103508e+00,1.040676317216e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223390679e+00,3.851352104811e+00,0.000000000000e+00,0.000000000000e+00,2.703820181483e-08,6.165532560058e-08,0.000000000000e+00,0.000000000000e+00,9.999999999989e-01,-9.437719534122e-02,2.290725228632e-12,3.427951991551e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000075e+00,1.291429998496e-07,-7.459317429632e-09,-3.941576396207e-08,0.000000000000e+00,0.000000000000e+00
1.000000000000e-12,OK,,4.732134097907e-07,-2.006354174593e-07,-5.858576200447e-08,2.006354174593e-07,5.858576200447e-08,2.006354174593e-07,1.724790000000e-09,8.776997600000e-09,1.000000000000e-04,0,1,1.000000000000e-04,12,2.175224957988e+00,BORIS,L0/dt-1e-12/eps-0.0001/ranks-1,4.732134097907e-07,6.898428864221e-08,R34,1.954010000000e+00,-1.386352398243e+00,-1.278842787453e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431660919e-01,-1.386352393706e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351861651e+00,1.040676268477e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223273019e+00,3.851351860526e+00,0.000000000000e+00,0.000000000000e+00,5.480114778769e-08,1.944516087935e-07,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437714548844e-02,1.452682932270e-11,8.536434453249e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000041e+00,5.359069998878e-07,-1.921476713834e-07,-7.734171166048e-08,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,4.307443409957e-06,-1.718150563664e-06,-5.137244662704e-07,1.718150563664e-06,5.137244662704e-07,1.718150563664e-06,1.597523100000e-08,2.135964100000e-08,3.000000000000e-04,0,1,3.000000000000e-04,12,1.212992165936e+00,BORIS,L0/dt-3e-12/eps-0.0003/ranks-1,4.307443409957e-06,6.175692252522e-07,R34,9.951310000000e-01,-1.386353512042e+00,-1.278846440820e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435179175e-01,-1.386353490999e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349941693e+00,1.040675885054e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222338285e+00,3.851349932522e+00,0.000000000000e+00,0.000000000000e+00,5.051262799628e-07,1.726004376796e-06,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.437643001310e-02,-1.350956958118e-12,1.152963264722e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999918e-01,4.795940000690e-06,-1.585592735272e-06,-4.828492521073e-07,0.000000000000e+00,0.000000000000e+00
1.000000000000e-11,OK,,4.795159340887e-05,-1.886340311405e-05,-5.631438646469e-06,1.886340311405e-05,5.631438646469e-06,1.886340311405e-05,1.765608400000e-07,2.434575100000e-07,1.000000000000e-03,0,1,1.000000000000e-03,12,1.048751458991e+00,BORIS,L0/dt-1e-11/eps-0.001/ranks-1,4.795159340887e-05,6.832331998396e-06,R34,8.314010000000e-01,-1.386366087990e+00,-1.278887630471e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209474732395e-01,-1.386365832772e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851328073233e+00,1.040671520639e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329211699004e+00,3.851328002075e+00,0.000000000000e+00,0.000000000000e+00,5.548829756239e-06,1.894813661280e-05,0.000000000000e+00,0.000000000000e+00,9.999999999999e-01,-9.436841712829e-02,-2.177164335402e-13,-8.481009643084e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,5.334682999880e-05,-1.744728739959e-05,-5.269691198587e-06,0.000000000000e+00,0.000000000000e+00
3.000000000000e-11,OK,,4.087717734098e-04,-1.675961352171e-04,-5.014534891103e-05,1.675961352171e-04,5.014534891103e-05,1.675961352171e-04,1.573691700000e-06,2.188125600000e-06,3.000000000000e-03,0,1,3.000000000000e-03,12,1.015030416194e+00,BORIS,L0/dt-3e-11/eps-0.003/ranks-1,4.087717734098e-04,5.943863675751e-05,R34,7.893090000000e-01,-1.386474802766e+00,-1.279244755782e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209816719428e-01,-1.386473066303e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851147528541e+00,1.040635438621e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329123507041e+00,3.851145822231e+00,0.000000000000e+00,0.000000000000e+00,4.912035344697e-05,1.681995360102e-04,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,-9.429892356565e-02,-6.777054755220e-14,-2.768766142832e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.573030600010e-04,-1.548756362441e-04,-4.688716935974e-05,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,7.478656759042e-09,-7.478657092109e-09,7.614869324729e-10,7.478657092109e-09,7.614869324729e-10,7.478657092109e-09,1.370226200000e-10,7.254840900000e-09,3.000000000000e-03,1,1,1.500000000000e-03,24,2.573575187498e+01,BORIS,L1/dt-1e-13/eps-0.003/ranks-1,7.478656759042e-09,9.865179122533e-10,R16,2.551730000000e+01,-1.386352258696e+00,-1.278842323723e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431241822e-01,-1.386352254990e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100199e+00,1.040676316113e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389126e+00,3.851352099983e+00,0.000000000000e+00,0.000000000000e+00,5.091538236957e-09,4.086406121979e-09,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437723465194e-02,6.396655705795e-12,6.652189282497e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000005e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e-13,OK,,4.398048436549e-08,-2.205497508207e-08,-7.169092961283e-09,2.205497508207e-08,7.169092961283e-09,2.205497508207e-08,2.662607900000e-10,1.172607700000e-09,3.000000000000e-03,1,1,1.500000000000e-03,24,9.533858791925e+00,BORIS,L1/dt-3e-13/eps-0.003/ranks-1,4.398048436549e-08,6.398566273065e-09,R12,9.314730000000e+00,-1.386352267770e+00,-1.278842363360e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431264381e-01,-1.386352268522e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352078852e+00,1.040676311806e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223378762e+00,3.851352078459e+00,0.000000000000e+00,0.000000000000e+00,6.193365938846e-09,2.258032076714e-08,0.000000000000e+00,0.000000000000e+00,9.999999999989e-01,-9.437722006571e-02,-2.324810641289e-12,1.185510886512e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.306999912274e-08,-1.457631798996e-08,-7.930579893756e-09,0.000000000000e+00,0.000000000000e+00
1.000000000000e-12,OK,,5.271234098103e-07,-1.840631231507e-07,-5.259098257945e-08,1.840631231507e-07,5.259098257945e-08,1.840631231507e-07,1.873180500000e-10,7.876136400000e-09,3.000000000000e-04,1,1,1.500000000000e-04,24,3.958884417079e+00,BORIS,L1/dt-1e-12/eps-0.0003/ranks-1,5.271234098103e-07,7.079737147666e-08,R34,3.739290000000e+00,-1.386352391323e+00,-1.278842757893e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431634086e-01,-1.386352384290e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851351837071e+00,1.040676263086e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223261135e+00,3.851351834251e+00,0.000000000000e+00,0.000000000000e+00,5.191221688834e-08,1.821309193485e-07,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,-9.437715375275e-02,1.125799659004e-11,4.486579028049e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000012e+00,5.303900003639e-07,-2.074299030766e-07,-2.755313822701e-08,0.000000000000e+00,0.000000000000e+00
3.000000000000e-12,OK,,4.791283409133e-06,-1.608076448204e-06,-4.597560304390e-07,1.608076448204e-06,4.597560304390e-07,1.608076448204e-06,2.207073600000e-09,7.546212500000e-07,1.000000000000e-05,1,1,5.000000000000e-06,24,2.234581500059e+00,BORIS,L1/dt-3e-12/eps-1e-05/ranks-1,4.791283409133e-06,6.463161293674e-07,R34,2.016130000000e+00,-1.386353478230e+00,-1.278846202873e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209434908487e-01,-1.386353392632e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851349721116e+00,1.040675836670e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329222231672e+00,3.851349696784e+00,0.000000000000e+00,0.000000000000e+00,-2.326600467253e-07,1.996523886300e-06,0.000000000000e+00,0.000000000000e+00,1.000000000008e+00,-9.437615939880e-02,-1.412208364616e-10,-2.274439590557e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000054e+00,6.232270278832e-06,-4.260733291640e-06,5.156222518234e-07,0.000000000000e+00,0.000000000000e+00
