variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.955715188980e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.965411516404e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.964189797152e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955666103183e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.001432492137e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.977690519654e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.910367256534e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.327968864166e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,1.536067252036e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R16,2.494262100813e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R26,2.554419489927e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.849672336522e-01
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-1.423699371361e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R16,-1.992851546823e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,abs_R26,-1.510188455400e+00
dt_s,epsilon,1.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,-3.720672613753e-01
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-4.409709864654e-01
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R16,-1.762174160064e+00
dt_s,epsilon,1.000000000000e-06,0,3.000000000000e-13,1.000000000000e-13,abs_R26,-1.264912127979e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.960055099535e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.970434784899e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.972091773635e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.960004836853e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.997444719227e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.984657117560e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,abs_R26,2.059454988827e+00
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.827384490312e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.009324107450e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.750008470082e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.998431900243e+00
dt_s,epsilon,3.000000000000e-06,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,7.887434563258e-01
dt_s,epsilon,3.000000000000e-06,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-4.368528832638e-01
