dt_s,status,reason,full_matrix_error,R16,R26,abs_R16,abs_R26,dispersion_error,determinant_error,canonical_J_error,epsilon,richardson_levels,ranks,finest_epsilon,rays_per_segment,elapsed_s,integration_method,path,scaled_max_error,relative_frobenius_error,worst_entry,orbit_threader_wall_s,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R36,R41,R42,R43,R44,R45,R46,R51,R52,R53,R54,R55,R56,R61,R62,R63,R64,R65,R66,difference_from_finest_dt,R16_difference_from_finest_dt,R26_difference_from_finest_dt,mpi_matrix_max_difference,mpi_diagnostics_max_difference
1.000000000000e-13,OK,,7.989188119014e-06,-7.989188119347e-06,-7.976135776964e-07,7.989188119347e-06,7.976135776964e-07,7.989188119347e-06,1.983597400000e-08,1.747449400000e-05,1.000000000000e-06,0,1,1.000000000000e-06,12,1.372947758390e+01,BORIS,L0/dt-1e-13/eps-1e-06/ranks-1,7.989188119014e-06,1.004825357044e-06,R16,1.350960000000e+01,-1.386354983009e+00,-1.278841559085e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433050073e-01,-1.386349319912e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100264e+00,1.040676316124e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389161e+00,3.851352100051e+00,0.000000000000e+00,0.000000000000e+00,-2.402580669384e-06,-7.418617015363e-06,0.000000000000e+00,0.000000000000e+00,9.999999999809e-01,-9.437454482248e-02,-3.214460605827e-09,-9.868790319225e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999921928e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,2.319478943205e-06,1.344110231349e-07,9.734743395646e-07,1.344110231349e-07,9.734743395646e-07,9.734743395646e-07,9.177546200000e-09,1.008673100000e-06,3.000000000000e-06,0,1,3.000000000000e-06,12,1.380552150006e+01,BORIS,L0/dt-1e-13/eps-3e-06/ranks-1,2.319478943205e-06,3.579752990636e-07,R56,1.358490000000e+01,-1.386350924494e+00,-1.278840254813e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209435035910e-01,-1.386352860533e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100275e+00,1.040676316130e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389171e+00,3.851352100083e+00,0.000000000000e+00,0.000000000000e+00,1.329725940664e-06,2.067393175630e-06,0.000000000000e+00,0.000000000000e+00,9.999999999603e-01,-9.437955335896e-02,-1.085055634082e-09,-1.514636448012e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999948242e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.252702123786e-07,-1.081297823455e-07,1.318701673318e-07,1.081297823455e-07,1.318701673318e-07,1.318701673318e-07,6.645471100000e-09,7.375885800000e-07,1.000000000000e-05,0,1,1.000000000000e-05,12,1.377828629198e+01,BORIS,L0/dt-1e-13/eps-1e-05/ranks-1,4.252702123786e-07,6.253406237535e-08,R11,1.355730000000e+01,-1.386352680667e+00,-1.278842592378e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209430783405e-01,-1.386351935075e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352100508e+00,1.040676316178e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223389278e+00,3.851352100310e+00,0.000000000000e+00,0.000000000000e+00,-8.663093640066e-08,-4.189610100062e-07,0.000000000000e+00,0.000000000000e+00,9.999999999995e-01,-9.437730865128e-02,-7.095677027005e-11,-8.524739314682e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000364e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,3.766173568009e-07,-3.889041989023e-08,-2.530252635138e-08,3.889041989023e-08,2.530252635138e-08,3.889041989023e-08,2.910611000000e-09,2.011723800000e-07,3.000000000000e-05,0,1,3.000000000000e-05,12,1.377209312515e+01,BORIS,L0/dt-1e-13/eps-3e-05/ranks-1,3.766173568009e-07,3.967961858174e-08,R56,1.355230000000e+01,-1.386352331647e+00,-1.278842363470e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431165675e-01,-1.386352193812e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352102462e+00,1.040676316608e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223390229e+00,3.851352102419e+00,0.000000000000e+00,0.000000000000e+00,1.653303417807e-07,2.227002342090e-07,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437685726266e-02,1.009529773501e-10,3.180585063383e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999997808e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,9.610313632852e-08,-8.487746075898e-09,1.875594965601e-08,8.487746075898e-09,1.875594965601e-08,1.875594965601e-08,1.864152600000e-09,6.034380800000e-08,1.000000000000e-04,0,1,1.000000000000e-04,12,1.379112075013e+01,BORIS,L0/dt-1e-13/eps-0.0001/ranks-1,9.610313632852e-08,1.483114217894e-08,R52,1.357110000000e+01,-1.386352176032e+00,-1.278842251546e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431454899e-01,-1.386352318146e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352124847e+00,1.040676321519e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223401043e+00,3.851352126331e+00,0.000000000000e+00,0.000000000000e+00,8.598308252036e-11,9.610313666159e-08,0.000000000000e+00,0.000000000000e+00,1.000000000003e+00,-9.437728534277e-02,-3.125240556951e-11,-6.804186853608e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000009e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.884965907337e-07,-1.325578283915e-07,-3.087521416309e-08,1.325578283915e-07,3.087521416309e-08,1.325578283915e-07,1.610260600000e-08,2.088142400000e-08,3.000000000000e-04,0,1,3.000000000000e-04,12,1.384289895813e+01,BORIS,L0/dt-1e-13/eps-0.0003/ranks-1,4.884965907337e-07,5.902467081117e-08,R34,1.362110000000e+01,-1.386352355498e+00,-1.278842641085e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209431381392e-01,-1.386352321144e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851352321495e+00,1.040676364648e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329223496112e+00,3.851352336524e+00,0.000000000000e+00,0.000000000000e+00,4.080570772588e-08,1.326068722236e-07,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437718287723e-02,2.792531724289e-11,4.850383821815e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999977e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,5.395236589933e-06,-1.416115714456e-06,-3.617474478825e-07,1.416115714456e-06,3.617474478825e-07,1.416115714456e-06,1.765487000000e-07,2.296295100000e-07,1.000000000000e-03,0,1,1.000000000000e-03,12,1.380118995812e+01,BORIS,L0/dt-1e-13/eps-0.001/ranks-1,5.395236589933e-06,6.409942614225e-07,R34,1.357930000000e+01,-1.386353175862e+00,-1.278845624290e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209433203495e-01,-1.386353069639e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851354558478e+00,1.040676855322e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329224577518e+00,3.851354727626e+00,0.000000000000e+00,0.000000000000e+00,3.890027839355e-07,1.423824394814e-06,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437657512085e-02,4.310402024347e-12,2.379261848602e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999999e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.853128659121e-05,-1.272049897295e-05,-3.258179551293e-06,1.272049897295e-05,3.258179551293e-06,1.272049897295e-05,1.588190200000e-06,2.065884900000e-06,3.000000000000e-03,0,1,3.000000000000e-03,12,1.381319087488e+01,BORIS,L0/dt-1e-13/eps-0.003/ranks-1,4.853128659121e-05,5.764884187045e-06,R34,1.359160000000e+01,-1.386360508355e+00,-1.278872005746e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209448935924e-01,-1.386359582975e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851374224525e+00,1.040681168927e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329234084507e+00,3.851375748337e+00,0.000000000000e+00,0.000000000000e+00,3.507557142356e-06,1.285426316711e-05,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.437129200402e-02,8.294830248837e-13,3.602207881853e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000008e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,5.392694265911e-04,-1.412988364426e-04,-3.618793152907e-05,1.412988364426e-04,3.618793152907e-05,1.412988364426e-04,1.764256900000e-05,2.294920700000e-05,1.000000000000e-02,0,1,1.000000000000e-02,12,1.377110583405e+01,BORIS,L0/dt-1e-13/eps-0.01/ranks-1,5.392694265911e-04,6.405221951400e-05,R34,1.354510000000e+01,-1.386443929640e+00,-1.279172079567e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.209628008778e-01,-1.386433663121e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.851597955691e+00,1.040730242741e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329342241310e+00,3.851614891342e+00,0.000000000000e+00,0.000000000000e+00,3.896419621970e-05,1.427721507028e-04,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.431123072207e-02,5.794514270309e-13,1.775123145574e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000001e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-13,OK,,4.858648106591e-03,-1.273674897781e-03,-3.261749263163e-04,1.273674897781e-03,3.261749263163e-04,1.273674897781e-03,1.586126000000e-04,2.062964900000e-04,3.000000000000e-02,0,1,3.000000000000e-02,12,1.388243470923e+01,BORIS,L0/dt-1e-13/eps-0.03/ranks-1,4.858648106591e-03,5.770545814240e-04,R34,1.365830000000e+01,-1.387178088695e+00,-1.281812238862e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.211205117653e-01,-1.387085635842e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.853567197354e+00,1.041162180609e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.330294243771e+00,3.853719810796e+00,0.000000000000e+00,0.000000000000e+00,3.509584390398e-04,1.285783076153e-03,0.000000000000e+00,0.000000000000e+00,1.000000000004e+00,-9.378224231860e-02,2.574894711601e-13,3.188017557169e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.999999999991e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
