                      ranks  Wall tot
=====================================
mainTimer...........      1     41.64

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     41.64     41.64     41.64
H5 open close.......      1  0.008249  0.008249  0.008249
H5 total step.......      1         0         0         0
H5 step header......      1         0         0         0
H5 device host copy.      1         0         0         0
H5 dataset write....      1         0         0         0
Write Stat..........      1         0         0         0
samplingTime........      1  0.000173  0.000173  0.000173
particleBC..........      1 2.396e-05 2.396e-05 2.396e-05
updateParticle......      1  7.07e-07  7.07e-07  7.07e-07
computeMoments......      1 5.637e-05 5.637e-05 5.637e-05
TIntegration1.......      1 3.604e-05 3.604e-05 3.604e-05
TIntegration2.......      1 1.246e-05 1.246e-05 1.246e-05
External field eval.      1 2.733e-05 2.733e-05 2.733e-05
Binaryrepart........      1         0         0         0
OrbThreader.........      1      41.6      41.6      41.6
