run,path,timer,ranks,wall_max_s,wall_min_s,wall_avg_s,fraction_of_main,percent_of_main
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,BB window total,1,3745.0,3745.0,3745.0,0.8976510067114094,89.76510067114094
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,BB self fields,1,3582.0,3582.0,3582.0,0.8585810162991371,85.8581016299137
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,BB CIC scatter,1,1914.0,1914.0,1914.0,0.45877277085330775,45.877277085330775
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,Solve,1,1050.0,1050.0,1050.0,0.2516778523489933,25.16778523489933
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,Solve: Electric fie,1,631.4,631.4,631.4,0.15134228187919463,15.134228187919463
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,FFT: Efield,1,595.4,595.4,595.4,0.14271332694151487,14.271332694151488
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,bSortContainerByBin,1,550.3,550.3,550.3,0.13190316395014381,13.190316395014381
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,FFT: Rho,1,204.8,204.8,204.8,0.04908916586768936,4.908916586768936
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,FFT: Convolution,1,198.3,198.3,198.3,0.047531160115052734,4.7531160115052735
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,computeMoments,1,96.28,96.28,96.28,0.02307766059443912,2.307766059443912
