run,path,ranks,main_wall_s
cain-opalx-reduced-order-model,sandbox/cain-opalx-reduced-order-model/opalx/timing.dat,2,1.692
one_c0_track12_smoke,sandbox/Drift-Experiment/one_c0_track12_smoke/timing.dat,1,30.99
one_c0_track12_edge_t0_ip6mm_smoke,sandbox/Drift-Experiment/one_c0_track12_edge_t0_ip6mm_smoke/timing.dat,1,32.87
c0_self_sc_after_fix_wide_aperture_smoke,sandbox/Drift-Experiment/c0_self_sc_after_fix_wide_aperture_smoke/timing.dat,1,33.73
one_c0_track12_edge_t0_smoke,sandbox/Drift-Experiment/one_c0_track12_edge_t0_smoke/timing.dat,1,35.55
timing_pairs/pair1,sandbox/track12particles/opalx/timing_pairs/pair1/timing.dat,1,42.21
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,1,210.4
withness_t0_4ps_active_1600fs_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_1600fs_release_shifted_c0/timing.dat,1,365.4
one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_extended_bb_nobound,sandbox/Drift-Experiment/one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_extended_bb_nobound/timing.dat,1,1589.0
withness_t0_4ps_coarse_to_12p5ps_fine_to_30ps,sandbox/Drift-Experiment/withness_t0_4ps_coarse_to_12p5ps_fine_to_30ps/timing.dat,1,2036.0
one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,1,3902.0
withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0,sandbox/Drift-Experiment/withness_t0_4ps_active_16ps_centered_ip_release_shifted_c0/timing.dat,1,4172.0
