run,path,timer,ranks,wall_max_s,wall_min_s,wall_avg_s,fraction_of_main
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,mainTimer,1,210.4,210.4,210.4,1.0
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Write Stat,1,1.413,1.413,1.413,0.0067157794676806085
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Write H5-File,1,81.89,81.89,81.89,0.38921102661596957
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bInitLimits,1,0.36,0.36,0.36,0.0017110266159695816
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bAllReduceLimits,1,0.1923,0.1923,0.1923,0.0009139733840304183
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bAllReduceGlobalHis,1,0.1984,0.1984,0.1984,0.0009429657794676805
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bAssignUniformBins,1,0.1774,0.1774,0.1774,0.0008431558935361217
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bExecuteHistoReduct,1,0.4414,0.4414,0.4414,0.002097908745247148
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bSortContainerByBin,1,3.948,3.948,3.948,0.01876425855513308
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,bVerifySorting,1,0.0,0.0,0.0,0.0
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Initialize,1,0.1809,0.1809,0.1809,0.0008597908745247148
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Initialize: extra H,1,0.0008017,0.0008017,0.0008017,3.810361216730038e-06
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Warmup,1,0.1698,0.1698,0.1698,0.0008070342205323194
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Green Init,1,0.0009524,0.0009524,0.0009524,4.526615969581749e-06
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,FFT: Green,1,5.288,5.288,5.288,0.025133079847908746
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Solve,1,37.44,37.44,37.44,0.17794676806083648
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,Solve: Physical to,1,0.1554,0.1554,0.1554,0.0007385931558935361
a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64,sandbox/Drift-Experiment/a100-one_c0_track12_edge_t0_ip6mm_400k_50ps_dt5fs_selfsc_mesh24mm_nxy64/timing.dat,FFT: Rho,1,5.313,5.313,5.313,0.02525190114068441
